
last 4 digits of sid	assign1	assign2	assign3	assign4	assign5	assign6	assign7	assign8	Late_Days	section	explore	weekly %	midterm	final	total	grade
1011	10	16	20	20	20	20	20	20	 	20	0.00	100.00%	101	98	99.40	4.0
5462	10	16	20	20	20	19	20	20	 	20	0.67	99.80%	101	98	99.32	4.0
522	10	16	20	20	20	18	18	20	3	20	0.00	97.59%	97	98	97.64	4.0
5226	8	16	20	20	20	20	20	19	5	20	0.00	98.19%	95	98	97.48	4.0
2181	10	16	20	20	20	18	20	19	1	20	0.33	98.39%	101	93	96.76	4.0
4300	10	15	20	19	19	19	19	20	2	20	0.00	96.99%	92	98	96.40	4.0
3945	9	14	20	19	19	19	18	20	3	20	1.67	96.18%	91	99	96.27	4.0
1551	8	15	19	20	19	18	20	20	3	20	0.00	95.78%	95	97	96.11	4.0
2290	9	16	20	19	19	20	20	20	3	20	0.00	98.19%	91	96	95.88	4.0
1205	10	16	19	20	20	20	19	18	2	20	0.00	97.59%	98	93	95.84	4.0
6818	10	16	20	19	19	17	19	17	3	20	0.00	94.58%	100	95	95.83	4.0
1960	9	15	20	18	19	17	18	19	1	20	0.00	93.37%	97	97	95.55	4.0
4776	10	16	19	20	18	20	19	20	5	20	0.67	97.99%	93	94	95.40	4.0
3375	9	16	20	20	18	19	18	19	 	20	0.00	95.78%	95	95	95.31	4.0
9753	10	16	19	19	20	18	20	19	 	20	0.00	96.99%	93	94	95.00	4.0
8903	10	16	20	18	20	19	20	19	 	20	0.00	97.59%	99	90	94.84	4.0
2644	10	16	19	19	19	18	20	18	5	20	0.00	95.78%	94	94	94.71	4.0
8290	10	16	20	20	19	17	18	19	3	20	0.00	95.78%	94	94	94.71	4.0
2586	7	15	18	20	18	17	19	18	2	20	0.00	91.57%	89	100	94.43	4.0
236	10	16	20	18	20	19	16	20	 	20	0.00	95.78%	89	95	94.11	3.9
342	10	16	20	17	19	19	16	20	 	20	0.00	94.58%	97	92	94.03	3.9
2387	10	14	20	19	19	18	19	17	 	20	0.00	93.98%	98	92	93.99	3.9
2012	10	16	19	19	19	14	18	20	 	20	0.00	93.37%	95	94	93.95	3.9
2759	9	16	20	20	19	19	20	19	1	20	0.00	97.59%	86	94	93.84	3.9
3907	10	16	20	20	19	19	20	19	 	20	0.00	98.19%	92	90	93.68	3.9
5344	10	16	20	20	19	20	20	17	 	20	0.00	97.59%	99	87	93.64	3.9
241	9	16	19	20	18	18	20	20	1	20	0.33	96.59%	95	90	93.63	3.9
855	9	16	20	19	19	20	18	19	 	20	0.00	96.39%	87	94	93.55	3.9
9040	9	16	18	18	15	18	16	20	 	20	0.00	90.36%	95	96	93.54	3.9
692	9	15	19	19	16	17	18	19	1	20	0.00	91.57%	96	94	93.43	3.9
1961	10	15	20	19	17	20	18	20	 	20	0.00	95.78%	87	94	93.31	3.9
9268	9	16	20	19	18	18	19	20	5	20	0.00	95.78%	87	94	93.31	3.9
1512	9	16	18	20	18	16	19	18	2	20	0.00	92.77%	91	95	93.31	3.9
1634	10	16	19	19	19	20	19	20	 	20	0.00	97.59%	87	92	93.24	3.9
5779	8	16	20	19	19	19	20	19	2	20	0.00	96.39%	89	92	93.15	3.9
1601	10	16	20	18	18	20	17	20	5	20	0.00	95.78%	96	89	93.11	3.9
1254	7	16	19	18	19	19	19	20	2	20	1.00	95.18%	91	92	93.07	3.9
5690	9	16	15	20	18	19	18	18	4	20	0.00	92.17%	91	95	93.07	3.9
9180	10	16	20	20	20	20	18	20	5	20	2.00	100.00%	95	85	93.00	3.8
1258	9	16	20	20	17	20	19	20	 	20	0.00	96.99%	95	88	93.00	3.8
3560	10	16	20	20	20	19	17	19	5	20	0.00	96.99%	95	88	93.00	3.8
1590	8	15	19	18	18	19	18	20	3	20	0.00	93.37%	92	93	92.95	3.8
769	10	16	20	19	18	19	17	18	 	20	0.00	94.58%	89	93	92.83	3.8
3459	10	15	18	18	16	18	19	18	1	20	0.00	91.57%	89	96	92.83	3.8
4248	10	16	20	17	17	18	17	18	 	20	0.00	92.17%	95	92	92.67	3.8
5520	10	16	19	20	19	20	18	20	4	20	0.00	97.59%	98	85	92.64	3.8
1542	9	15	19	16	18	15	18	17	 	20	0.00	88.55%	92	97	92.62	3.8
5445	9	16	20	20	20	20	19	19	5	20	0.00	98.19%	92	87	92.48	3.8
600	8	16	20	19	15	18	19	18	 	20	0.00	92.17%	92	93	92.47	3.8
1168	8	15	18	17	20	17	19	18	5	20	0.00	91.57%	91	94	92.43	3.8
1092	10	16	19	20	19	19	19	19	5	20	0.00	96.99%	86	91	92.40	3.8
2371	9	16	19	18	16	18	17	18	 	20	0.00	90.96%	94	93	92.39	3.8
6382	8	15	20	17	14	18	20	16	 	20	1.33	89.96%	94	94	92.38	3.8
2577	10	16	18	19	19	19	18	19	1	20	0.00	95.18%	91	90	92.27	3.8
8144	8	16	20	19	19	20	20	18	 	20	0.33	96.59%	94	87	92.23	3.8
5200	8	16	20	19	20	15	19	19	4	20	0.00	93.98%	95	89	92.19	3.8
1920	9	16	20	20	20	19	19	20	 	20	0.33	98.39%	86	89	92.16	3.8
1823	9	15	17	18	19	13	19	20	1	20	0.00	90.36%	90	95	92.14	3.7
1729	10	16	20	18	17	18	16	19	3	20	0.00	92.77%	95	90	92.11	3.7
