
last 4 digits of sid	assign1	assign2	assign3	assign4	bonus4	assign5	assign6	assign7	assign8	bonus8	Late_Days	explore	weekly %	midterm	final	total	grade
8744	18	18	20	20	0	18	18	19	29	2	2	0	95.3%	99	101	98.32	4
0725	18	19	19	19	0	20	18	20	30	2	0	4	97.8%	98	98	97.94	4
4603	19	18	19	20	 	20	18	17	27	 	0	0	92.9%	99	101	97.38	4
4559	19	20	20	16	2	19	16	20	27	 	4	0	93.5%	99	99	96.81	4
6915	17	19	20	18	0	20	15	18	27	 	4	0	90.6%	100	101	96.64	4
1694	17	19	20	19	 	19	19	20	29	 	5	0	95.3%	98	97	96.52	4
1266	18	16	18	19	1	19	16	19	29	2	3	0	92.4%	98	99	96.14	4
0668	18	17	20	19	2	17	19	17	28	 	5	3	92.9%	100	97	95.98	4
5554	19	16	19	19	2	19	19	20	30	 	1	0	95.9%	97	95	95.75	4
1715	19	17	16	19	 	20	20	19	29	 	2	0	93.5%	95	98	95.61	4
7576	18	19	18	19	1	20	19	15	27	2	3	0	92.9%	95	98	95.38	4
5358	20	17	19	18	 	20	20	18	23	2	0	0	92.4%	100	96	95.34	4
5013	19	17	18	20	1	17	20	17	28	 	3	3	92.9%	91	99	94.98	4
6820	18	18	19	20	1	17	17	17	30	 	0	0	92.4%	100	95	94.94	4
5873	19	17	16	19	 	18	18	19	29	2	5	0	92.4%	92	99	94.94	4
6005	18	19	18	17	1	16	15	20	30	2	0	0	91.8%	97	97	94.91	3.9
1107	18	19	15	19	1	20	18	20	30	2	0	4	96.1%	88	97	94.83	3.9
6208	17	17	14	18	 	18	19	16	29	2	1	0	88.2%	98	99	94.49	3.9
9954	19	17	18	20	1	19	17	18	29	 	4	0	92.9%	100	93	94.38	3.9
3180	19	19	18	13	1	17	17	18	28	2	5	5	90.4%	97	97	94.36	3.9
5634	18	17	18	18	 	13	17	16	30	 	5	0	86.5%	100	99	94.19	3.9
4606	19	18	18	19	1	19	18	19	26	 	2	0	92.4%	89	98	93.94	3.9
1745	20	18	17	19	 	20	17	20	30	 	0	0	94.7%	98	91	93.88	3.9
3804	18	18	17	19	0	19	18	17	27	 	0	0	90.0%	95	97	93.80	3.9
4908	18	17	18	16	 	19	19	17	30	 	4	0	90.6%	98	94	93.44	3.9
