
code	assign1	assign2	assign3	assign4	bonus4	assign5	assign6	assign7	assign8	bonus8	Late_Days	explore	weekly %	midterm	final	total	grade
70	12	16	16	16	 	18	12	3	5	 	2	0.00	57.6%	73	48	56.86	1.0
70	20	16	13	7	 	 	 	 	 	 	 	0.50	33.0%	 	 	13.22	0.0
111	19	18	17	18	 	19	16	17	29	 	3	0.00	90.0%	82	93	89.60	3.6
134	19	17	19	17	1	18	14	18	29	 	5	0.00	89.4%	84	77	83.36	3.1
164	13	15	16	20	 	19	15	15	24	 	3	0.00	80.6%	73	66	73.24	2.3
279	17	16	17	17	 	20	16	17	26	 	 	0.00	85.9%	90	88	87.55	3.5
281	16	14	17	17	 	16	19	16	23	 	3	0.00	81.2%	91	70	78.67	2.7
316	17	17	19	16	 	18	12	12	27	 	1	0.00	81.2%	91	74	80.27	2.9
316	15	 	17	 	 	 	 	 	 	 	5	0.00	18.8%	 	 	7.53	0.0
350	18	19	16	20	 	17	17	17	26	 	4	0.00	88.2%	64	77	78.89	2.8
354	 	 	8	16	 	10	 	 	 	 	 	0.00	20.0%	57	18	26.60	0.0
377	19	18	18	20	 	20	16	20	30	 	5	0.50	94.8%	94	97	95.52	4.0
431	16	17	20	18	 	18	19	20	26	 	4	6.00	91.8%	85	76	84.11	3.2
496	19	15	17	 	 	0	 	 	 	 	1	0.00	30.0%	 	 	12.00	0.0
523	17	16	16	18	 	18	19	18	30	 	2	0.00	89.4%	80	78	82.96	3.1
606	16	15	19	18	 	18	17	20	30	 	3	0.00	90.0%	81	96	90.60	3.7
607	18	16	17	17	1	16	15	16	28	 	1	0.50	84.8%	91	95	90.12	3.7
639	18	18	16	17	 	14	9	8	 	 	5	0.00	58.8%	58	31	47.53	0.0
670	19	15	12	17	 	19	16	11	28	 	5	2.00	81.0%	84	80	81.19	2.9
714	19	16	17	18	 	16	11	18	25	 	2	0.00	82.4%	87	65	76.34	2.5
746	19	17	17	20	 	19	18	14	24	 	1	0.00	87.1%	84	72	80.42	2.9
750	18	18	16	17	 	18	14	9	27	 	1	0.00	80.6%	81	74	78.04	2.7
757	19	19	20	20	1	19	17	20	27	 	1	2.00	95.7%	97	99	97.27	4.0
767	19	16	20	17	 	19	19	19	28	 	4	0.00	92.4%	90	87	89.74	3.6
