CSE 143: Spring 2013
Total Students: 441
4.0: 4.08% (18 students)
3.9: 4.08% (18 students)
3.8: 3.4% (15 students)
3.7: 4.99% (22 students)
3.6: 3.4% (15 students)
3.5: 5.44% (24 students)
3.4: 4.99% (22 students)
3.3: 3.17% (14 students)
3.2: 3.17% (14 students)
3.1: 4.76% (21 students)
3.0: 6.35% (28 students)
2.9: 3.4% (15 students)
2.8: 4.54% (20 students)
2.7: 3.17% (14 students)
2.6: 3.63% (16 students)
2.5: 2.95% (13 students)
2.4: 2.49% (11 students)
2.3: 2.72% (12 students)
2.2: 2.04% (9 students)
2.1: 2.95% (13 students)
2.0: 2.04% (9 students)
1.9: 1.59% (7 students)
1.8: 1.13% (5 students)
1.7: 1.81% (8 students)
1.6: 1.59% (7 students)
1.5: 1.13% (5 students)
1.4: 0.91% (4 students)
1.3: 0.68% (3 students)
1.2: 0.68% (3 students)
1.1: 1.13% (5 students)
1.0: 0.68% (3 students)
0.9: 0.91% (4 students)
0.8: 0.45% (2 students)
0.7: 0.68% (3 students)
0.6: 0.0% (0 students)
0.5: 0.0% (0 students)
0.4: 0.0% (0 students)
0.3: 0.0% (0 students)
0.2: 0.0% (0 students)
0.1: 0.0% (0 students)
0.0: 8.84% (39 students)
