CSE 142: Autumn 2013
Total Students: 838
4.0: 4.06% (34 students)
3.9: 4.06% (34 students)
3.8: 4.18% (35 students)
3.7: 3.58% (30 students)
3.6: 4.3% (36 students)
3.5: 6.68% (56 students)
3.4: 4.77% (40 students)
3.3: 5.25% (44 students)
3.2: 5.01% (42 students)
3.1: 4.77% (40 students)
3.0: 4.06% (34 students)
2.9: 3.46% (29 students)
2.8: 2.98% (25 students)
2.7: 2.98% (25 students)
2.6: 2.51% (21 students)
2.5: 2.86% (24 students)
2.4: 2.15% (18 students)
2.3: 2.27% (19 students)
2.2: 2.39% (20 students)
2.1: 2.03% (17 students)
2.0: 1.91% (16 students)
1.9: 2.03% (17 students)
1.8: 2.03% (17 students)
1.7: 1.91% (16 students)
1.6: 1.67% (14 students)
1.5: 0.72% (6 students)
1.4: 0.36% (3 students)
1.3: 1.19% (10 students)
1.2: 1.31% (11 students)
1.1: 0.95% (8 students)
1.0: 0.84% (7 students)
0.9: 0.48% (4 students)
0.8: 0.72% (6 students)
0.7: 0.84% (7 students)
0.6: 0.0% (0 students)
0.5: 0.0% (0 students)
0.4: 0.0% (0 students)
0.3: 0.0% (0 students)
0.2: 0.0% (0 students)
0.1: 0.0% (0 students)
0.0: 8.71% (73 students)
