CSE 143: Winter 2014
Total Students: 604
4.0: 4.3% (26 students)
3.9: 4.64% (28 students)
3.8: 4.14% (25 students)
3.7: 4.64% (28 students)
3.6: 3.48% (21 students)
3.5: 3.81% (23 students)
3.4: 4.64% (28 students)
3.3: 4.3% (26 students)
3.2: 4.97% (30 students)
3.1: 6.29% (38 students)
3.0: 5.63% (34 students)
2.9: 5.13% (31 students)
2.8: 3.81% (23 students)
2.7: 4.47% (27 students)
2.6: 3.64% (22 students)
2.5: 4.8% (29 students)
2.4: 1.82% (11 students)
2.3: 3.15% (19 students)
2.2: 3.15% (19 students)
2.1: 2.65% (16 students)
2.0: 1.66% (10 students)
1.9: 2.15% (13 students)
1.8: 1.32% (8 students)
1.7: 0.66% (4 students)
1.6: 0.66% (4 students)
1.5: 1.49% (9 students)
1.4: 0.99% (6 students)
1.3: 0.5% (3 students)
1.2: 0.5% (3 students)
1.1: 0.33% (2 students)
1.0: 0.17% (1 students)
0.9: 0.17% (1 students)
0.8: 0.33% (2 students)
0.7: 0.5% (3 students)
0.6: 0.0% (0 students)
0.5: 0.0% (0 students)
0.4: 0.0% (0 students)
0.3: 0.0% (0 students)
0.2: 0.0% (0 students)
0.1: 0.0% (0 students)
0.0: 5.13% (31 students)
