last 4 digits of sid	Assign1	Assign2	Assign3	Assign4	Assign5	Assign6	Assign7	Assign8	Assign9	attendance	homework %	Midterm	Final	total	grade
3419	10	15	20	20	20	20	20	20	19	20	99.46%	99	100	99.58	4.0
3022	9	15	20	20	20	20	20	20	20	20	99.46%	98	99	98.98	4.0
3598	10	15	20	20	20	20	20	19	18	20	98.38%	100	99	98.95	4.0
6349	10	15	20	20	20	20	20	20	20	20	100.00%	100	97	98.80	4.0
3503	9	14	20	20	20	20	20	20	18	20	97.84%	101	98	98.54	4.0
3262	10	15	20	19	20	20	19	20	20	20	98.92%	101	96	98.17	4.0
3033	10	15	20	20	19	20	19	20	19	20	98.38%	99	97	97.95	4.0
1343	9	14	20	20	20	20	20	20	18	20	97.84%	101	96	97.74	4.0
3293	10	15	20	20	20	20	20	20	20	20	100.00%	98	95	97.60	4.0
5388	8	15	20	20	20	20	20	20	20	20	98.92%	98	96	97.57	4.0
7365	9	15	20	19	20	20	20	20	19	20	98.38%	99	96	97.55	4.0
1886	8	15	20	20	19	19	20	20	19	20	97.30%	99	97	97.52	4.0
5196	7	15	20	20	17	20	20	20	18	20	95.68%	98	99	97.47	4.0
0452	10	15	20	20	18	20	20	20	20	20	98.92%	101	94	97.37	4.0
4093	10	15	20	20	20	20	20	20	19	20	99.46%	93	97	97.18	4.0
3414	10	15	19	19	19	19	19	20	20	20	97.30%	101	95	97.12	4.0
2892	9	15	20	20	20	20	20	20	19	20	98.92%	91	98	96.97	4.0
4459	7	14	18	19	20	19	20	20	19	18	94.05%	99	98	96.62	3.9
0182	10	15	20	19	20	20	19	20	20	20	98.92%	99	93	96.57	3.9
0167	9	14	20	18	18	19	19	20	20	20	95.68%	97	97	96.47	3.9
0649	7	15	20	18	19	20	20	20	19	20	96.22%	95	97	96.29	3.9
2900	10	15	20	18	17	20	20	20	18	20	96.22%	95	97	96.29	3.9
5955	7	15	20	18	20	20	20	20	17	20	95.68%	98	96	96.27	3.9
0015	8	15	20	17	18	19	20	19	20	20	95.14%	97	97	96.25	3.9
1412	10	15	20	19	20	19	20	20	19	20	98.38%	98	93	96.15	3.9
3726	10	15	18	20	20	20	20	20	19	20	98.38%	100	92	96.15	3.9
5261	9	15	20	20	20	20	20	20	20	20	99.46%	101	90	95.98	3.9
3472	9	15	20	20	17	20	20	20	19	20	97.30%	91	97	95.92	3.9
1154	8	15	20	19	18	20	20	19	18	20	95.68%	100	94	95.87	3.9
1722	7	15	20	18	19	20	19	20	19	20	95.68%	100	94	95.87	3.9
6038	9	15	20	19	20	20	20	20	20	20	98.92%	99	91	95.77	3.9
7020	9	15	20	20	18	20	20	20	19	20	97.84%	101	91	95.74	3.9
1059	8	15	20	20	20	20	20	20	19	20	98.38%	99	91	95.55	3.9
1853	9	15	20	19	20	20	19	20	18	20	97.30%	101	91	95.52	3.9
1846	7	15	20	19	17	20	19	19	18	20	94.05%	94	97	95.22	3.8
9379	10	15	20	19	18	20	20	20	20	20	98.38%	97	91	95.15	3.8
3745	10	15	19	19	20	20	19	20	20	20	98.38%	97	91	95.15	3.8
2016	10	15	20	19	19	20	20	18	18	20	96.76%	96	93	95.10	3.8
4903	10	15	20	19	20	20	20	20	20	20	99.46%	90	93	94.98	3.8
0213	9	15	20	20	20	20	20	20	19	20	98.92%	96	90	94.77	3.8
4512	7	15	20	19	20	19	20	20	20	20	97.30%	101	89	94.72	3.8
5524	9	15	20	19	18	19	20	20	18	20	96.22%	91	95	94.69	3.8
7222	9	14	20	18	19	20	17	19	18	20	94.05%	93	96	94.62	3.8
8162	10	15	19	20	20	20	20	20	17	20	97.84%	97	90	94.54	3.8
4345	8	15	20	18	18	20	20	20	19	20	96.22%	98	91	94.49	3.8
1768	8	15	20	18	20	20	20	20	18	20	96.76%	98	90	94.30	3.8
5866	10	15	20	20	20	20	20	20	19	20	99.46%	94	89	94.18	3.8
0869	9	14	20	20	20	20	20	20	18	20	97.84%	101	87	94.14	3.8
0407	9	15	20	20	20	20	18	20	19	20	97.84%	95	90	94.14	3.8
1568	9	14	20	19	18	20	20	20	19	20	96.76%	95	91	94.10	3.8
1091	9	15	20	20	18	20	20	20	20	20	98.38%	99	87	93.95	3.8
6577	9	15	20	18	20	20	18	20	19	20	96.76%	98	89	93.90	3.8
1170	9	15	20	19	20	19	18	20	16	20	95.14%	99	90	93.85	3.8
2218	9	15	19	18	19	20	19	20	17	20	95.14%	99	90	93.85	3.8
3633	9	15	19	19	17	19	19	20	19	20	95.14%	93	93	93.85	3.8
1228	10	15	18	19	20	20	19	17	18	20	95.14%	96	91	93.65	3.7
7281	8	15	20	19	18	20	20	20	16	18	94.05%	96	92	93.62	3.7
2297	9	15	20	20	20	20	20	20	18	15	95.68%	88	94	93.47	3.7
4860	9	15	20	17	20	18	19	20	18	20	95.14%	97	90	93.45	3.7
1486	10	15	17	18	16	19	16	20	19	20	91.89%	99	92	93.36	3.7
1666	9	15	20	19	20	20	20	20	19	20	98.38%	86	92	93.35	3.7
1500	7	15	19	20	19	20	20	20	19	20	96.76%	87	93	93.30	3.7
4349	9	15	20	19	19	19	20	20	20	20	97.84%	80	95	93.14	3.7
6081	8	15	20	19	19	20	18	20	19	20	96.22%	95	89	93.09	3.7
6657	6	15	20	20	18	20	20	20	18	20	95.68%	98	88	93.07	3.7
2149	6	15	20	18	19	20	18	18	20	20	94.05%	99	89	93.02	3.7
1777	9	14	20	18	17	20	20	20	16	20	94.05%	95	91	93.02	3.7
6932	9	15	17	15	20	20	19	20	17	20	92.97%	97	91	92.99	3.7
6999	9	15	20	17	18	20	17	20	17	20	93.51%	95	91	92.81	3.7
9246	7	15	19	19	17	20	16	20	20	20	93.51%	99	89	92.81	3.7
9374	9	14	20	19	20	20	20	20	17	20	96.76%	100	85	92.70	3.7
2713	8	15	20	19	18	20	17	20	19	20	95.14%	91	91	92.65	3.7
4178	9	15	20	19	16	20	19	18	18	20	94.05%	95	90	92.62	3.7
1833	10	15	20	19	18	20	20	16	19	20	95.68%	95	88	92.47	3.7
4909	9	15	20	20	20	19	20	20	19	20	98.38%	99	83	92.35	3.7
1766	9	15	20	18	19	20	18	20	19	20	96.22%	87	91	92.29	3.7
9915	7	15	18	19	19	19	20	20	19	20	95.14%	97	87	92.25	3.7
4857	8	14	17	19	19	20	20	5	18	20	86.49%	96	96	92.19	3.7
6710	9	15	20	20	18	20	19	20	20	20	97.84%	85	90	92.14	3.7
2133	9	14	20	19	19	20	20	20	19	20	97.30%	97	84	91.92	3.6
1670	9	15	20	19	17	20	19	20	19	20	96.22%	79	94	91.89	3.6
3391	8	13	19	19	17	20	19	20	20	18	93.51%	92	90	91.81	3.6
0161	9	15	20	20	17	20	20	20	19	20	97.30%	90	87	91.72	3.6
6443	5	14	20	18	20	20	18	20	19	20	94.05%	90	90	91.62	3.6
0005	9	15	20	19	18	20	20	20	20	20	97.84%	84	89	91.54	3.6
2549	9	15	20	19	19	20	20	17	19	20	96.22%	87	89	91.49	3.6
0854	7	15	20	19	17	20	18	20	17	20	93.51%	96	87	91.41	3.6
4236	10	15	18	19	18	20	20	20	19	20	96.76%	83	90	91.30	3.6
7519	9	15	20	18	17	20	19	20	19	20	95.68%	91	87	91.27	3.6
0246	8	13	20	19	18	20	20	19	16	20	93.51%	99	85	91.21	3.6
5883	10	15	20	20	20	19	20	20	17	20	97.84%	90	85	91.14	3.6
2273	10	14	20	19	19	20	18	20	18	20	96.22%	93	85	91.09	3.6
3910	10	15	18	19	20	20	20	13	19	20	94.05%	89	89	91.02	3.6
4948	6	13	20	19	20	20	19	16	17	20	91.89%	93	89	90.96	3.6
3575	9	15	20	19	20	20	20	20	18	20	97.84%	73	93	90.94	3.6
0152	9	15	20	19	18	20	20	20	19	20	97.30%	80	90	90.92	3.6
7391	8	14	20	20	20	20	18	20	 	15	83.78%	93	97	90.91	3.6
4620	8	15	20	20	20	18	19	20	19	20	96.76%	93	84	90.90	3.6
5983	9	15	20	18	20	20	18	19	18	20	95.68%	99	82	90.87	3.6
3402	7	15	20	19	20	20	20	19	14	20	94.05%	88	89	90.82	3.6
8195	7	15	18	18	20	20	19	20	19	20	95.14%	91	86	90.65	3.5
8844	9	15	20	17	17	19	20	20	19	20	95.14%	81	91	90.65	3.5
5989	9	15	20	17	18	20	20	20	19	12	91.89%	101	84	90.56	3.5
3001	9	15	17	14	20	19	15	20	17	20	89.73%	95	89	90.49	3.5
4537	7	15	19	20	20	20	18	20	18	20	95.68%	93	84	90.47	3.5
8517	9	15	20	19	20	20	20	20	20	20	98.92%	88	83	90.37	3.5
4798	9	14	20	19	20	20	20	17	19	18	95.14%	99	81	90.25	3.5
5955	9	15	19	20	19	19	16	20	18	20	94.59%	90	86	90.24	3.5
3782	5	15	20	19	17	19	20	17	18	20	91.89%	89	89	90.16	3.5
7759	9	15	20	20	20	20	20	20	19	18	97.84%	95	80	90.14	3.5
1737	9	15	20	18	20	20	20	20	15	20	95.68%	87	86	90.07	3.5
9587	8	14	20	19	19	20	18	19	18	20	94.59%	89	86	90.04	3.5
4758	8	15	17	20	17	20	19	20	18	20	94.05%	90	86	90.02	3.5
5114	9	15	20	18	17	20	16	18	20	20	93.51%	101	81	90.01	3.5
0905	9	15	20	19	20	20	19	20	19	20	97.84%	94	80	89.94	3.5
9987	9	15	20	19	17	20	20	20	17	20	95.68%	88	85	89.87	3.5
0878	8	15	20	19	19	18	18	20	17	20	94.05%	89	86	89.82	3.5
4635	9	15	20	19	20	20	20	20	19	20	98.38%	92	80	89.75	3.5
0912	10	15	20	19	17	20	16	20	18	20	94.59%	79	90	89.64	3.5
4293	10	15	20	20	20	20	20	20	20	20	100.00%	68	90	89.60	3.5
2101	8	14	13	15	20	20	18	20	19	20	90.27%	93	87	89.51	3.5
4499	9	15	20	17	20	20	20	18	19	20	96.22%	87	84	89.49	3.5
5559	9	15	19	19	19	20	17	20	18	20	95.14%	82	87	89.25	3.4
1262	9	15	20	18	16	20	19	19	18	20	94.05%	98	80	89.22	3.4
1873	9	14	17	20	13	19	18	20	16	3	80.54%	93	96	89.22	3.4
5854	8	13	20	20	20	19	20	20	18	15	93.51%	89	85	89.21	3.4
3545	9	15	20	19	19	20	19	20	19	20	97.30%	85	83	89.12	3.4
4788	10	14	19	20	19	19	20	19	20	20	97.30%	79	86	89.12	3.4
1097	9	15	20	19	19	19	19	20	18	20	96.22%	85	84	89.09	3.4
0528	10	14	18	19	17	20	13	20	16	20	90.27%	86	89	88.91	3.4
8324	7	14	20	19	17	20	15	14	19	20	89.19%	96	85	88.88	3.4
2215	10	15	20	18	18	20	12	20	19	9	87.03%	94	88	88.81	3.4
0063	7	15	20	19	17	18	17	20	20	20	93.51%	79	89	88.81	3.4
6256	9	15	20	19	 	20	18	20	17	20	85.41%	87	93	88.76	3.4
1899	9	15	20	18	20	19	20	20	19	20	97.30%	89	80	88.72	3.4
4034	9	15	20	19	20	20	19	20	18	20	97.30%	89	80	88.72	3.4
1901	9	15	20	18	20	20	19	20	19	20	97.30%	81	84	88.72	3.4
0171	9	15	20	20	20	20	18	20	18	20	97.30%	91	79	88.72	3.4
0731	9	15	19	20	20	20	17	20	19	20	96.76%	84	83	88.70	3.4
8456	7	15	18	20	20	20	19	20	17	20	95.14%	93	80	88.65	3.4
5897	6	15	20	19	18	20	20	20	18	20	95.14%	95	79	88.65	3.4
6700	9	15	18	18	17	20	19	20	18	20	94.05%	85	85	88.62	3.4
0778	9	15	17	18	16	20	16	20	19	20	91.89%	91	84	88.56	3.4
3995	9	15	18	18	16	20	15	20	16	20	90.27%	88	87	88.51	3.4
4171	8	15	20	20	20	19	18	20	19	20	96.76%	89	80	88.50	3.4
4518	8	15	20	18	20	20	20	20	18	20	96.76%	87	81	88.50	3.4
8842	8	15	20	20	18	20	19	17	17	20	94.05%	77	88	88.22	3.3
2699	9	14	18	20	20	20	20	20	17	15	93.51%	66	94	88.21	3.3
8521	9	15	17	18	15	20	16	20	19	20	91.35%	86	86	88.14	3.3
1069	7	13	18	20	18	19	20	19	18	20	92.97%	92	81	87.99	3.3
8636	9	12	20	18	15	18	10	15	17	20	83.24%	99	87	87.90	3.3
1318	9	15	14	20	19	20	18	20	19	20	94.05%	87	82	87.82	3.3
1842	8	15	18	18	17	18	8	20	17	20	85.95%	89	89	87.78	3.3
0345	10	15	20	18	20	20	19	20	17	20	96.76%	95	75	87.70	3.3
2286	9	15	20	19	19	20	19	20	17	20	96.22%	88	79	87.69	3.3
2830	9	14	20	17	20	19	20	19	19	20	95.68%	87	80	87.67	3.3
0878	7	15	18	20	20	19	19	20	15	20	93.51%	87	82	87.61	3.3
1005	9	14	20	17	19	20	11	19	18	20	90.27%	99	79	87.51	3.3
0759	9	15	18	19	17	19	20	18	19	20	94.05%	89	80	87.42	3.3
3339	7	15	20	20	19	20	19	20	14	20	94.05%	83	83	87.42	3.3
5681	9	15	18	19	19	20	17	20	19	20	95.14%	88	79	87.25	3.3
1705	9	15	20	19	20	19	20	20	16	20	96.22%	95	74	87.09	3.3
2034	9	14	20	18	20	20	20	18	19	18	95.14%	81	82	87.05	3.3
2827	8	13	20	19	20	18	19	20	19	20	95.14%	89	78	87.05	3.3
3542	6	15	20	19	17	20	20	20	18	20	94.59%	86	80	87.04	3.3
4275	9	15	20	18	20	20	20	20	19	20	97.84%	81	79	86.94	3.2
5865	9	15	14	18	17	20	17	19	19	20	90.81%	85	84	86.92	3.2
6452	8	15	20	20	20	20	19	20	18	20	97.30%	82	79	86.92	3.2
4950	9	15	17	18	20	19	17	20	19	20	94.05%	86	80	86.82	3.2
0238	10	15	17	18	19	19	15	20	20	20	93.51%	89	79	86.81	3.2
2350	9	15	20	18	19	 	19	19	19	20	85.41%	95	84	86.76	3.2
7209	7	15	19	19	20	20	20	20	20	20	97.30%	83	78	86.72	3.2
5207	8	14	20	19	18	19	19	20	19	20	95.14%	77	83	86.65	3.2
5952	6	15	17	19	17	19	18	18	17	20	89.73%	93	80	86.49	3.2
6022	8	15	18	19	16	20	16	20	17	20	91.35%	91	79	86.34	3.2
3604	7	15	18	20	20	20	16	19	19	20	94.05%	95	74	86.22	3.2
3738	5	15	20	15	20	20	20	20	18	20	93.51%	86	79	86.21	3.2
2349	7	15	20	18	18	20	19	20	19	20	95.14%	84	78	86.05	3.2
1462	9	15	20	18	17	20	19	20	17	20	94.59%	84	78	85.84	3.1
0522	9	14	18	20	18	19	20	14	18	20	91.89%	93	76	85.76	3.1
4673	9	14	20	20	20	20	20	20	17	20	97.30%	90	72	85.72	3.1
0763	6	15	19	18	20	20	20	20	18	20	95.14%	76	81	85.65	3.1
7061	9	15	20	18	18	19	18	20	18	20	94.59%	93	73	85.64	3.1
6259	9	15	17	19	19	20	19	18	18	20	94.05%	80	80	85.62	3.1
1833	9	15	20	16	15	20	19	20	19	20	93.51%	79	81	85.61	3.1
3094	9	15	17	17	18	19	18	17	17	20	90.27%	79	84	85.51	3.1
9968	9	15	15	16	18	19	12	18	19	20	87.03%	87	83	85.41	3.1
0158	8	15	17	18	19	20	17	20	19	20	93.51%	80	80	85.41	3.1
1603	8	15	20	15	17	19	17	20	18	20	91.35%	88	78	85.34	3.1
2936	10	13	20	19	20	20	18	20	18	20	96.22%	82	76	85.29	3.1
9740	9	15	19	18	15	20	15	10	20	18	85.95%	81	86	84.98	3.0
2020	9	15	13	19	19	19	18	15	18	20	89.19%	96	75	84.88	3.0
7740	9	15	20	17	10	20	17	19	16	18	87.03%	86	82	84.81	3.0
4852	9	15	20	19	15	20	20	20	15	20	93.51%	87	75	84.81	3.0
5846	9	15	20	18	18	19	20	20	19	20	96.22%	85	73	84.69	3.0
3325	9	15	20	17	18	19	18	20	18	20	94.05%	63	86	84.62	3.0
9009	9	15	20	19	20	20	19	20	20	20	98.38%	80	73	84.55	3.0
3785	8	15	18	15	18	20	18	18	17	20	90.27%	86	78	84.51	3.0
5715	 	14	20	18	19	20	17	20	19	20	90.27%	94	74	84.51	3.0
7488	7	13	0	19	16	19	19	20	18	20	81.62%	89	85	84.45	3.0
4435	9	14	20	20	20	20	20	20	14	20	95.68%	84	73	84.27	3.0
4814	8	15	20	20	20	20	19	20	20	20	98.38%	72	76	84.15	3.0
4695	7	15	16	18	18	19	19	18	18	20	90.81%	83	78	84.12	3.0
5959	9	15	20	20	18	20	19	20	19	20	97.30%	86	70	84.12	3.0
0711	9	14	19	19	17	20	20	20	19	20	95.68%	81	74	84.07	3.0
5555	9	15	20	19	19	20	15	13	18	15	88.11%	78	83	84.04	3.0
