last 4 digits of sid	assign1	assign2	assign3	assign4	assign5	assign6	assign7	assign8	participation	weekly %	midterm	final	total	grade
0015	9	14	20	16	19	20	20	19	20	95.15%	94	69	84.46	3
0016	9	15	20	17	14	18	19	19	20	91.52%	82	76	83.41	2.9
0030	9	14	20	17	15	17	20	20	20	92.12%	55	81	80.25	2.6
0040	10	15	20	17	16	16	13	18	20	87.88%	93	82	86.55	3.2
0047	9	15	16	19	17	18	19	20	20	92.73%	75	80	84.09	2.9
0052	5	15	19	20	18	17	17	0	0	67.27%	32	 	33.31	0
0054	9	15	19	19	20	17	19	17	20	93.94%	87	100	94.98	3.9
0086	9	15	20	20	18	17	20	18	20	95.15%	75	52	73.86	2
0109	8	14	20	17	18	20	20	20	20	95.15%	92	91	92.86	3.7
0116	10	15	20	18	20	17	16	18	20	93.33%	95	79	87.93	3.3
0142	10	15	20	18	20	19	19	19	20	96.97%	60	61	75.19	2.1
0155	10	15	20	20	19	17	15	13	20	90.30%	52	77	77.32	2.3
0164	9	14	17	19	12	19	20	20	20	90.91%	90	92	91.16	3.6
0165	10	15	20	20	20	20	18	19	20	98.18%	72	78	84.87	3
0183	10	15	20	20	20	20	20	18	20	98.79%	84	81	88.72	3.4
0196	9	15	19	19	13	18	16	9	20	83.64%	89	79	82.85	2.8
0204	9	15	20	19	20	19	17	 	20	84.24%	92	89	87.70	3.3
0206	9	15	20	20	20	20	18	19	20	97.58%	88	95	94.63	3.8
0206	10	15	19	20	16	18	19	16	20	92.73%	81	68	80.49	2.6
0211	10	13	20	19	20	20	20	20	20	98.18%	98	87	93.67	3.8
0255	9	15	20	19	17	20	14	15	20	90.30%	69	61	74.32	2
0264	8	14	18	0	19	19	0	18	20	70.30%	85	86	79.52	2.5
0281	6	15	20	19	18	19	18	18	20	92.73%	62	50	69.49	1.6
0289	 	 	15	14	15	18	19	 	15	58.18%	82	72	68.47	1.5
0320	9	15	19	20	20	19	19	18	20	96.36%	82	83	88.15	3.3
0322	6	14	20	19	16	16	12	16	20	84.24%	85	60	74.70	2.1
0325	8	13	19	18	18	19	16	16	20	89.09%	70	79	81.24	2.7
0335	9	14	14	11	12	12	20	16	6	69.09%	67	45	59.04	0.7
0337	9	15	20	6	19	 	0	10	20	60.00%	72	45	56.40	0
0351	9	15	20	18	17	16	20	17	20	92.12%	61	51	69.45	1.6
0379	9	14	20	20	18	0	18	15	20	81.21%	81	61	73.08	1.9
0382	10	15	20	20	18	19	19	18	20	96.36%	89	91	92.75	3.7
0392	9	15	17	19	18	20	17	17	20	92.12%	79	88	87.85	3.3
0398	8	14	20	18	17	18	18	16	20	90.30%	88	70	81.72	2.7
0410	10	15	19	20	20	17	18	19	20	95.76%	79	87	88.90	3.4
0433	10	15	15	18	0	16	18	19	20	79.39%	81	59	71.56	1.7
0438	9	15	20	20	20	20	0	20	20	87.27%	88	61	76.91	2.3
0443	8	15	20	19	17	17	18	17	20	91.52%	67	80	82.01	2.8
0447	8	15	20	20	20	20	20	20	20	98.79%	100	97	98.32	4
0456	9	14	13	16	19	17	20	18	20	88.48%	58	43	64.19	1.1
0471	10	15	19	20	19	19	15	19	20	94.55%	79	76	84.02	2.9
0473	7	15	20	18	14	20	17	19	20	90.91%	49	37	60.96	0.8
0475	9	14	20	20	16	19	20	18	20	94.55%	98	96	95.82	3.9
0477	9	15	20	20	20	20	18	18	20	96.97%	80	80	86.79	3.2
0481	10	15	20	20	18	20	20	20	20	98.79%	95	98	97.72	4
0482	9	15	18	20	18	20	18	19	20	95.15%	92	93	93.66	3.8
0484	9	0	 	 	0	 	 	0	12	12.73%	61	 	17.29	0
0489	10	14	20	19	19	20	20	18	20	96.97%	90	95	94.79	3.8
0494	10	15	20	20	19	19	20	20	20	98.79%	75	92	91.32	3.6
0519	9	15	20	20	20	20	20	20	20	99.39%	79	80	87.56	3.3
0541	9	15	18	19	19	19	17	20	20	94.55%	93	95	94.42	3.8
0554	9	15	20	20	15	17	19	14	6	81.82%	80	89	84.33	2.9
