last 4 digits of sid	assign1	assign2	assign3	assign4	assign5	assign6	assign7	assign8	bonus8	weekly %	midterm	final	new final	total	grade
2544	19	20	19	20	20	20	19	30	2	99.41%	99	101	106	101.96	4
0073	18	18	19	20	20	20	19	30	 	96.47%	97	101	106	100.39	4
0447	20	19	19	19	20	19	20	29	2	98.24%	96	95	100	98.49	4
1502	19	19	20	20	20	18	19	30	 	97.06%	90	98	103	98.02	4
3636	20	20	19	20	20	19	19	30	 	98.24%	94	94	99	97.69	4
2500	19	20	20	20	19	20	20	29	2	99.41%	91	94	99	97.56	4
1174	20	20	19	20	20	19	20	30	 	98.82%	82	99	104	97.53	4
4032	20	20	20	20	20	19	20	29	 	98.82%	91	93	98	96.93	4
2733	20	20	17	19	20	18	19	30	 	95.88%	80	98	103	95.55	4
6882	20	20	20	19	19	20	18	30	 	97.65%	86	93	98	95.46	4
5205	19	18	18	20	20	18	20	26	 	93.53%	94	92	97	95.01	3.9
4355	20	20	20	20	20	19	20	30	 	99.41%	94	86	91	94.96	3.9
3044	19	20	20	20	19	18	18	29	 	95.88%	77	98	103	94.95	3.9
5208	20	19	18	20	18	19	19	29	 	95.29%	93	90	95	94.72	3.9
2763	19	18	19	20	20	19	19	30	 	96.47%	83	93	98	94.39	3.9
0867	20	20	19	19	19	19	18	28	2	96.47%	88	90	95	94.19	3.9
3847	19	20	19	18	19	14	18	27	2	91.76%	93	92	97	94.11	3.9
9143	20	20	20	20	20	19	20	30	2	100.59%	99	80	85	94.04	3.9
3724	18	20	19	20	19	18	19	26	 	93.53%	98	87	92	93.81	3.9
3542	19	16	18	19	20	20	18	26	 	91.76%	89	93	98	93.71	3.9
8627	20	20	18	19	20	17	19	30	2	97.06%	76	94	99	93.62	3.9
0475	18	19	16	20	19	18	18	29	 	92.35%	93	90	95	93.54	3.9
5963	20	20	19	20	19	19	20	28	 	97.06%	93	85	90	93.42	3.9
2892	20	20	20	20	20	20	20	30	 	100.00%	90	83	88	93.20	3.8
5272	18	19	18	20	19	20	20	30	 	96.47%	95	84	89	93.19	3.8
3597	19	20	20	20	20	19	19	30	2	99.41%	87	85	90	93.16	3.8
0220	19	20	20	18	20	19	19	30	2	98.24%	95	82	87	93.09	3.8
9960	20	19	20	20	19	19	19	29	 	97.06%	87	87	92	93.02	3.8
6294	19	19	20	20	20	19	17	29	 	95.88%	89	87	92	92.95	3.8
3302	20	18	20	18	20	18	19	30	 	95.88%	97	82	87	92.55	3.8
0216	20	17	18	20	19	20	19	29	 	95.29%	96	83	88	92.52	3.8
2982	18	19	18	20	19	18	18	30	 	94.12%	96	84	89	92.45	3.8
1142	19	18	19	19	18	19	18	29	 	93.53%	79	92	97	92.01	3.8
7208	19	19	19	16	20	16	18	30	 	92.35%	87	89	94	91.94	3.8
3721	19	20	19	19	19	19	20	29	 	96.47%	92	81	86	91.39	3.7
3056	15	16	19	20	14	9	17	30	 	82.35%	97	92	97	91.14	3.7
5254	17	19	20	20	16	19	20	30	 	94.71%	77	88	93	90.48	3.7
3472	20	20	20	19	20	20	20	30	 	99.41%	91	76	81	90.36	3.7
1203	19	18	19	20	20	19	20	22	 	92.35%	83	87	92	90.34	3.7
4783	20	20	20	20	19	20	19	30	 	98.82%	82	81	86	90.33	3.7
6007	20	20	15	18	20	19	18	30	2	95.29%	84	83	88	90.12	3.7
4003	20	19	19	19	20	19	20	30	 	97.65%	95	75	80	90.06	3.7
4479	20	19	18	20	20	18	20	26	 	94.71%	82	84	89	89.88	3.6
1719	18	18	18	15	19	19	19	28	 	90.59%	90	84	89	89.84	3.6
5505	13	18	19	20	20	19	19	29	2	93.53%	90	81	86	89.81	3.6
1231	20	20	18	20	19	15	20	30	2	96.47%	96	75	80	89.79	3.6
5363	20	20	20	19	20	19	18	26	 	95.29%	88	80	85	89.72	3.6
5141	19	20	17	20	19	19	19	27	 	94.12%	81	84	89	89.45	3.6
0015	19	18	19	20	19	20	19	30	 	96.47%	86	79	84	89.39	3.6
