last 4 digits of sid	assign1	assign2	assign3	assign4	assign5	assign6	assign7	assign8	participation	weekly %	Midterm	new midterm	final	new final	total	delta	grade
1568	9	15	20	20	20	20	20	20	20	99.39%	93	97	87	103	100.36	0.36	4
1157	10	15	20	20	20	20	20	20	20	100.00%	96	100	84	100	100.00	0.02	4
0828	7	14	19	20	18	19	19	19	20	93.94%	90	94	93	109	99.98	0.36	4
0931	10	13	19	19	18	18	19	20	20	94.55%	89	93	92	108	99.62	0.10	4
1128	10	15	20	20	18	20	20	20	20	98.79%	98	102	83	99	99.52	0.13	4
3209	10	15	20	20	20	16	20	19	20	96.97%	93	97	87	103	99.39	0.16	4
2223	9	15	20	20	20	19	20	18	20	97.58%	89	93	88	104	99.23	0.12	4
8416	10	15	20	20	19	20	20	19	20	98.79%	88	92	87	103	99.12	0.24	4
0631	10	15	20	19	19	20	20	19	20	98.18%	90	94	86	102	98.87	0.00	4
3352	9	15	20	19	19	20	20	20	20	98.18%	88	92	87	103	98.87	0.05	4
9767	9	15	20	18	20	16	20	18	20	94.55%	93	97	88	104	98.82	0.46	4
0533	10	15	19	20	20	20	20	20	20	99.39%	93	97	82	98	98.36	0.77	4
0403	9	15	20	20	19	19	19	19	20	96.97%	86	90	86	102	97.59	0.08	4
5787	9	15	18	20	18	20	20	18	20	95.76%	90	94	85	101	97.50	0.15	4
0110	10	15	20	20	20	19	20	20	20	99.39%	96	100	78	94	97.36	0.48	4
1110	9	15	19	20	20	20	19	20	20	98.18%	90	94	81	97	96.87	0.07	3.9
1588	10	15	20	20	20	20	20	20	20	100.00%	92	96	78	94	96.80	0.02	3.9
0815	10	13	20	20	18	17	17	20	20	93.94%	92	96	84	100	96.78	0.20	3.9
1909	9	15	19	20	17	18	19	18	20	93.94%	91	95	84	100	96.58	0.33	3.9
3578	10	14	19	19	17	17	20	16	20	92.12%	93	97	84	100	96.25	0.49	3.9
0760	10	15	20	20	20	19	20	20	20	99.39%	92	96	76	92	95.76	0.00	3.9
1481	10	15	20	20	20	19	20	20	20	99.39%	98	102	73	89	95.76	0.01	3.9
2468	8	15	18	20	20	20	19	19	20	96.36%	88	92	81	97	95.75	0.77	3.9
4816	9	15	17	20	18	19	19	18	20	93.94%	85	89	83	99	94.98	0.22	3.9
