last 4 digits of sid	assign1	assign2	assign3	assign4	assign5	assign6	assign7	assign8	bonus8	weekly %	midterm	final	total	grade
3867	20	20	20	19	20	19	20	30	2	100.00%	99	101	100.20	4.0
7038	20	18	19	20	20	20	20	29	2	98.82%	98	99	98.73	4.0
0231	19	19	20	19	20	18	20	30	2	98.24%	99	94	96.69	4.0
0035	20	18	20	20	20	20	20	30	2	100.00%	94	94	96.40	4.0
0113	20	19	19	18	17	20	19	30	 	95.29%	98	96	96.12	4.0
1157	19	16	19	19	20	20	20	27	2	95.29%	98	96	96.12	4.0
3352	20	19	19	19	17	19	19	30	 	95.29%	96	96	95.72	4.0
5813	19	16	18	19	20	20	20	30	 	95.29%	98	95	95.72	4.0
8460	20	19	19	20	20	18	20	27	 	95.88%	100	93	95.55	4.0
7972	18	18	17	19	18	18	18	30	2	92.94%	99	95	94.98	3.9
0533	20	19	20	20	20	18	20	30	2	99.41%	90	93	94.96	3.9
1128	16	18	18	18	19	18	18	29	2	91.76%	98	96	94.71	3.9
1676	19	15	19	20	20	16	20	25	 	90.59%	95	98	94.44	3.9
0903	20	18	20	18	20	20	19	30	2	98.24%	80	97	94.09	3.9
6487	20	20	19	18	19	20	20	30	 	97.65%	96	89	93.86	3.9
2612	20	17	20	20	20	19	20	30	2	98.82%	93	89	93.73	3.9
9376	20	18	19	19	18	17	20	28	2	94.71%	98	90	93.48	3.9
0760	20	19	20	20	20	19	20	30	 	98.82%	91	89	93.33	3.9
5703	18	19	20	19	20	20	15	27	 	92.94%	94	93	93.18	3.9
0581	20	19	19	19	19	17	20	29	 	95.29%	90	92	92.92	3.8
7743	20	19	20	19	20	20	20	29	 	98.24%	86	91	92.89	3.8
6023	20	17	19	19	20	19	20	30	2	97.65%	89	90	92.86	3.8
7964	19	19	18	20	16	19	20	29	 	94.12%	97	88	92.25	3.8
8066	20	20	20	20	20	20	20	29	 	99.41%	87	87	91.96	3.8
3278	19	20	19	19	20	14	20	28	 	93.53%	86	90	90.61	3.7
1115	19	19	20	20	19	18	18	29	 	95.29%	88	87	90.52	3.7
5734	20	18	20	18	20	19	19	28	 	95.29%	82	90	90.52	3.7
1028	19	19	18	18	19	17	20	28	 	92.94%	90	88	90.38	3.7
6437	19	16	19	16	19	17	16	27	2	88.82%	82	96	90.33	3.7
0052	19	17	20	20	19	18	17	29	 	93.53%	94	85	90.21	3.7
8353	20	18	20	18	19	19	20	29	 	95.88%	88	85	89.95	3.7
3571	18	20	19	19	20	20	20	30	 	97.65%	86	84	89.86	3.7
8715	19	19	18	18	20	18	18	28	2	94.12%	87	86	89.45	3.7
1467	19	18	20	19	17	17	20	29	 	93.53%	98	81	89.41	3.7
5142	20	20	20	19	20	18	19	28	 	96.47%	78	88	89.39	3.7
1780	20	20	19	19	19	17	19	29	 	95.29%	84	86	89.32	3.7
2615	16	17	19	19	20	15	19	25	 	88.24%	97	86	89.09	3.6
8215	19	19	18	20	18	18	20	28	 	94.12%	83	87	89.05	3.6
2426	20	16	17	17	19	19	20	29	 	92.35%	90	85	88.94	3.6
2632	14	16	15	19	19	16	20	30	1	88.24%	94	87	88.89	3.6
5538	20	19	18	20	19	17	20	28	 	94.71%	93	81	88.88	3.6
0504	20	18	20	18	18	17	19	27	2	93.53%	87	85	88.81	3.6
4691	19	19	17	16	18	19	19	24	 	88.82%	76	95	88.73	3.6
0081	20	17	17	18	18	20	19	29	2	94.12%	77	89	88.65	3.6
2606	19	16	17	20	19	19	18	28	2	92.94%	97	80	88.58	3.6
7175	18	19	19	19	19	19	19	28	 	94.12%	76	89	88.45	3.6
1303	19	18	20	19	19	17	18	28	 	92.94%	90	83	88.38	3.6
8413	19	17	18	18	20	18	20	28	 	92.94%	86	85	88.38	3.6
0294	19	19	17	17	19	18	19	29	 	92.35%	95	81	88.34	3.6
8412	19	18	20	18	20	19	19	29	 	95.29%	85	83	88.32	3.6
2402	18	18	18	18	17	18	19	29	 	91.18%	85	87	88.27	3.6
1827	20	19	18	19	16	19	20	29	 	94.12%	81	86	88.25	3.6
0403	20	18	19	18	19	18	19	30	 	94.71%	96	76	87.48	3.5
6092	18	19	19	16	18	19	20	27	 	91.76%	83	85	87.31	3.5
8876	18	16	19	18	18	18	13	30	 	88.24%	92	84	87.29	3.5
6839	19	17	19	19	17	20	19	29	2	94.71%	78	84	87.08	3.5
2228	18	11	15	18	18	11	20	25	 	80.00%	96	89	86.80	3.5
6113	20	18	19	19	20	17	20	29	 	95.29%	83	80	86.72	3.5
8269	19	19	18	20	19	18	19	29	 	94.71%	58	93	86.68	3.5
1489	16	17	17	20	17	19	16	26	 	87.06%	91	84	86.62	3.5
8143	20	17	20	20	19	15	20	30	 	94.71%	87	78	86.48	3.4
0301	18	19	20	19	16	20	19	29	 	94.12%	72	86	86.45	3.4
3312	14	13	16	15	17	19	19	29	 	83.53%	90	87	86.21	3.4
8729	18	16	13	15	17	19	19	30	 	86.47%	74	92	86.19	3.4
1973	19	18	19	14	17	17	16	26	 	85.88%	84	87	85.95	3.4
0642	20	18	19	17	17	19	19	29	 	92.94%	99	72	85.78	3.4
0030	20	18	20	20	18	17	18	24	 	91.18%	84	81	85.67	3.4
0397	20	19	18	19	19	20	19	28	 	95.29%	79	79	85.52	3.4
7724	19	18	20	19	18	17	20	26	 	92.35%	80	81	85.34	3.3
2721	18	12	14	18	20	20	18	25	 	85.29%	96	80	85.32	3.3
8635	19	14	15	19	17	19	19	30	 	89.41%	93	77	85.16	3.3
0370	19	17	20	18	19	17	20	26	 	91.76%	91	75	84.91	3.3
7958	17	19	19	19	20	18	19	30	 	94.71%	71	82	84.88	3.3
2958	20	14	19	17	19	20	20	27	2	92.94%	76	81	84.78	3.3
1924	16	15	20	19	17	17	13	29	 	85.88%	95	78	84.55	3.3
6141	19	17	20	20	17	14	20	30	2	93.53%	53	91	84.41	3.2
6860	19	18	16	19	18	12	20	30	 	89.41%	81	81	84.36	3.2
3834	18	15	17	18	20	18	19	30	 	91.18%	85	77	84.27	3.2
1741	20	15	19	18	18	20	20	30	 	94.12%	79	77	84.25	3.2
3977	20	18	17	17	18	19	20	28	 	92.35%	68	84	84.14	3.2
1922	14	15	19	18	20	15	20	30	2	90.00%	78	81	84.00	3.2
6580	12	15	18	15	20	16	19	27	 	83.53%	94	79	83.81	3.2
6829	20	16	19	18	19	12	16	26	 	85.88%	77	85	83.75	3.2
7243	19	18	18	17	19	16	20	28	2	92.35%	77	78	83.54	3.2
0234	18	18	15	19	15	12	16	27	 	82.35%	89	81	83.14	3.1
6406	19	12	19	16	18	19	18	29	 	88.24%	83	78	83.09	3.1
0828	20	19	18	19	18	17	17	30	 	92.94%	87	71	82.98	3.1
2896	19	19	20	19	20	18	20	30	 	97.06%	71	74	82.62	3.1
2314	16	16	14	14	18	16	18	29	 	82.94%	83	82	82.58	3.1
3179	19	17	16	18	20	17	20	28	 	91.18%	92	69	82.47	3.1
7377	20	18	18	18	19	18	18	27	 	91.76%	82	73	82.31	3.1
5787	14	17	19	16	14	16	19	28	 	84.12%	90	76	82.05	3.0
7941	19	18	18	16	19	17	13	26	 	85.88%	84	77	81.95	3.0
4663	20	20	18	20	18	19	20	29	 	96.47%	78	69	81.79	3.0
0933	18	19	19	20	19	19	20	29	 	95.88%	81	68	81.75	3.0
3717	16	20	19	19	19	14	20	27	2	91.76%	79	72	81.31	3.0
1824	20	18	18	16	 	 	17	17	 	62.35%	90	95	80.94	2.9
8350	19	18	17	19	18	14	20	28	 	90.00%	80	72	80.80	2.9
0678	19	17	16	19	19	17	19	30	 	91.76%	76	72	80.71	2.9
8616	16	19	18	17	20	19	19	26	 	90.59%	62	80	80.64	2.9
1448	20	15	19	17	17	20	20	29	 	92.35%	73	72	80.34	2.9
4146	19	17	17	20	19	19	19	27	 	92.35%	71	73	80.34	2.9
8604	18	19	17	19	15	16	18	27	 	87.65%	86	70	80.26	2.9
2384	14	18	16	15	17	17	13	27	 	80.59%	82	78	79.84	2.8
4804	16	19	18	16	15	18	16	28	 	85.88%	75	76	79.75	2.8
0600	19	18	18	19	17	17	17	26	 	88.82%	85	68	79.73	2.8
0520	18	16	16	14	20	13	18	27	 	83.53%	84	73	79.41	2.8
5661	19	20	19	19	17	18	20	26	 	92.94%	61	75	79.38	2.8
9528	20	13	15	18	18	16	19	29	 	87.06%	55	83	79.02	2.8
0919	20	16	19	17	19	18	20	30	 	93.53%	73	67	78.81	2.7
0068	18	16	20	19	19	18	19	29	 	92.94%	72	68	78.78	2.7
4005	20	19	17	17	14	5	19	22	 	78.24%	87	75	78.69	2.7
6837	19	17	19	19	19	19	16	27	 	91.18%	81	65	78.67	2.7
0779	19	13	18	18	17	17	19	29	 	88.24%	87	63	77.89	2.7
4393	19	17	20	19	18	19	19	29	 	94.12%	74	63	77.65	2.6
0836	20	18	18	18	19	18	18	28	 	92.35%	79	62	77.54	2.6
6618	18	14	14	13	 	13	0	28	 	58.82%	94	88	77.53	2.6
7150	18	17	19	19	19	19	18	30	 	93.53%	84	58	77.41	2.6
2087	18	16	19	17	18	18	18	29	 	90.00%	79	64	77.40	2.6
9767	20	18	20	20	19	20	17	28	 	95.29%	84	56	77.32	2.6
5273	20	18	17	17	16	16	19	13	 	80.00%	66	80	77.20	2.6
1615	15	19	19	16	18	13	17	29	 	85.88%	84	65	77.15	2.6
8141	20	18	18	18	18	17	20	27	 	91.76%	63	69	76.91	2.6
8237	16	18	13	16	18	16	17	23	 	80.59%	79	72	76.84	2.6
1673	18	15	13	18	17	13	15	27	 	80.00%	67	78	76.60	2.5
2464	19	16	18	19	19	16	17	28	 	89.41%	74	65	76.56	2.5
2314	12	17	18	18	15	20	14	28	 	83.53%	74	70	76.21	2.5
7424	19	15	14	18	17	17	18	28	 	85.88%	87	60	75.75	2.5
8545	17	15	16	19	16	19	12	26	 	82.35%	74	70	75.74	2.5
6471	18	16	19	18	20	15	20	30	 	91.76%	77	59	75.71	2.5
0438	20	19	18	18	17	19	19	27	 	92.35%	68	61	74.94	2.4
2634	12	12	8	16	18	16	18	27	 	74.71%	68	78	74.68	2.4
2352	18	16	19	18	18	17	17	29	 	89.41%	58	67	74.16	2.4
2205	19	18	14	17	14	15	18	26	 	82.94%	83	60	73.78	2.3
