last 4 digits of sid	assign1	assign2	assign3	assign4	assign5	assign6	assign7	assign8	bonus8	weekly %	midterm	new midterm	final	total	grade
5909	20	20	20	20	17	20	19	29	 	97.06%	100	106	101	100.42	4
0221	20	17	18	20	20	20	20	30	2	98.24%	97	103	100	99.89	4
2330	20	20	19	20	20	19	20	29	2	99.41%	97	103	97	99.16	4
0599	20	19	19	19	20	19	18	30	 	96.47%	95	101	98	97.99	4
7496	20	18	19	20	16	17	19	30	 	93.53%	95	101	99	97.21	4
7862	19	20	20	20	18	19	19	30	2	98.24%	84	90	99	96.89	4
1069	16	17	19	19	20	15	19	28	 	90.00%	98	104	99	96.40	4
4788	17	20	20	19	20	19	20	29	2	97.65%	88	94	96	96.26	4
5000	20	19	18	19	20	19	20	30	 	97.06%	98	104	90	95.62	3.9
2604	20	20	18	20	20	19	19	29	 	97.06%	96	102	91	95.62	3.9
5656	18	19	20	20	20	20	19	30	2	98.82%	80	86	97	95.53	3.9
2351	19	17	19	20	20	19	19	30	 	95.88%	96	102	91	95.15	3.9
2755	18	17	18	20	18	18	17	28	 	90.59%	86	92	101	95.04	3.9
3728	19	20	20	20	20	16	20	27	 	95.29%	99	105	89	94.72	3.9
9770	15	17	19	19	20	20	15	27	 	89.41%	96	102	95	94.16	3.9
0844	19	18	19	20	18	18	20	29	2	95.88%	87	93	93	94.15	3.9
8295	18	19	19	20	19	20	17	30	 	95.29%	93	99	90	93.92	3.8
1835	18	13	19	20	18	19	19	28	2	91.76%	94	100	93	93.91	3.8
2508	19	19	19	19	20	19	19	28	2	96.47%	92	98	89	93.79	3.8
0124	18	19	17	20	18	19	18	29	 	92.94%	95	101	91	93.78	3.8
4921	20	18	18	20	19	17	20	30	 	95.29%	93	99	89	93.52	3.8
0103	12	20	19	19	19	20	19	27	 	91.18%	86	92	96	93.27	3.8
1942	20	20	17	18	18	20	19	28	 	94.12%	91	97	90	93.05	3.8
3210	20	19	20	20	19	17	19	29	 	95.88%	77	83	95	92.95	3.8
1206	17	19	19	15	18	17	17	29	 	88.82%	84	90	98	92.73	3.8
2768	20	17	18	20	20	18	20	30	 	95.88%	93	99	86	92.55	3.7
6211	17	18	18	20	19	19	20	28	2	94.71%	95	101	86	92.48	3.7
3227	19	20	19	20	20	17	20	29	2	97.65%	91	97	85	92.46	3.7
4533	18	19	17	19	19	18	20	28	 	92.94%	80	86	95	92.38	3.7
1456	20	19	19	18	20	19	16	28	 	93.53%	78	84	95	92.21	3.7
4959	20	20	20	20	20	19	20	29	2	100.00%	61	67	97	92.20	3.7
3827	19	18	18	18	19	17	20	28	2	93.53%	79	85	94	92.01	3.7
3241	20	20	18	19	19	17	19	30	 	95.29%	83	89	90	91.92	3.7
4838	20	20	18	20	17	15	20	29	 	93.53%	84	90	91	91.81	3.7
0172	18	16	18	19	15	19	18	30	 	90.00%	92	98	90	91.60	3.6
0024	19	19	17	19	17	19	19	28	 	92.35%	73	79	97	91.54	3.6
5999	19	20	20	20	19	20	20	30	 	98.82%	74	80	90	91.53	3.6
7495	18	17	17	19	18	18	16	29	 	89.41%	85	91	92	90.76	3.6
7497	13	16	14	16	19	16	15	26	 	79.41%	95	101	97	90.76	3.6
3555	19	19	18	19	14	16	17	23	 	85.29%	97	103	90	90.72	3.6
4961	18	17	17	18	17	18	19	30	 	90.59%	66	72	100	90.64	3.6
1708	20	19	20	20	20	18	19	30	2	98.82%	73	79	88	90.53	3.6
1375	18	19	20	18	19	19	20	29	 	95.29%	66	72	95	90.52	3.6
2846	18	15	18	20	16	20	20	27	 	90.59%	79	85	92	90.04	3.5
1865	18	17	16	18	19	12	17	27	2	85.88%	86	92	93	89.95	3.5
6664	17	18	18	18	19	16	19	30	 	91.18%	85	91	88	89.87	3.5
1700	13	16	17	18	17	13	15	22	 	77.06%	93	99	98	89.82	3.5
1938	20	19	19	18	20	17	20	29	 	95.29%	66	72	93	89.72	3.5
1152	16	20	18	19	18	19	19	28	2	93.53%	83	89	86	89.61	3.5
3665	20	15	19	18	15	15	17	29	 	87.06%	81	87	93	89.42	3.5
0315	20	18	19	20	15	18	20	29	 	93.53%	91	97	80	88.81	3.5
1196	17	13	17	17	15	16	17	29	 	82.94%	90	96	91	88.78	3.5
0068	20	18	18	20	20	15	18	30	 	93.53%	66	72	91	88.21	3.4
4546	16	16	19	18	19	15	17	30	 	88.24%	76	82	91	88.09	3.4
2535	20	17	18	20	20	14	20	29	 	92.94%	96	102	76	87.98	3.4
8336	18	17	16	17	18	17	20	30	 	90.00%	64	70	94	87.60	3.4
2964	20	20	20	20	20	19	20	14	 	90.00%	71	77	90	87.40	3.3
4298	17	18	18	20	19	12	18	29	 	88.82%	75	81	89	87.33	3.3
8453	17	19	20	20	20	20	18	29	 	95.88%	62	68	88	87.15	3.3
8956	19	18	13	20	20	14	20	30	 	90.59%	78	84	85	87.04	3.3
0402	18	17	12	15	19	16	15	28	 	82.35%	80	86	92	86.94	3.3
0640	17	17	10	19	12	12	17	27	 	77.06%	86	92	94	86.82	3.3
8115	16	19	16	19	17	17	15	29	 	87.06%	66	72	94	86.82	3.3
2482	17	18	17	19	19	18	16	27	 	88.82%	64	70	93	86.73	3.3
1463	19	17	18	17	17	18	19	29	 	90.59%	88	94	79	86.64	3.3
8855	19	19	19	18	17	17	20	24	 	90.00%	68	74	89	86.40	3.2
5799	19	15	19	19	19	19	18	29	 	92.35%	73	79	84	86.34	3.2
0768	13	18	18	17	16	13	15	27	 	80.59%	84	90	90	86.24	3.2
3391	19	19	19	17	19	18	19	17	 	86.47%	72	78	90	86.19	3.2
6977	19	18	17	19	16	13	20	29	 	88.82%	59	65	94	86.13	3.2
7661	15	16	20	20	18	13	20	29	 	88.82%	85	91	81	86.13	3.2
9104	18	20	18	20	20	19	18	30	 	95.88%	65	71	83	85.75	3.2
0731	18	20	19	19	18	17	20	30	 	94.71%	59	65	87	85.68	3.2
8324	20	18	16	20	16	19	18	29	 	91.76%	88	94	74	85.11	3.1
2411	18	18	18	19	18	18	17	27	 	90.00%	79	85	80	85.00	3.1
9484	18	18	19	20	20	12	19	29	 	91.18%	77	83	79	84.67	3.1
5115	17	20	20	18	19	12	19	22	 	86.47%	58	64	93	84.59	3.1
7340	19	18	19	20	17	16	16	26	 	88.82%	69	75	85	84.53	3
5288	17	17	19	16	20	16	19	30	 	90.59%	65	71	85	84.44	3
0391	17	18	19	18	18	13	18	23	 	84.71%	82	88	82	84.28	3
4956	20	20	19	18	20	17	19	28	 	94.71%	61	67	82	84.08	3
9825	12	14	17	19	19	18	19	30	 	87.06%	69	75	85	83.82	3
0985	20	15	19	20	14	20	18	28	 	90.59%	77	83	77	83.64	3
2099	17	17	15	19	19	14	19	28	 	87.06%	52	58	92	83.22	2.9
5796	13	19	19	18	19	18	16	29	 	88.82%	76	82	78	83.13	2.9
9937	19	16	12	13	10	18	18	26	 	77.65%	72	78	91	83.06	2.9
4809	20	17	16	15	19	19	17	25	 	87.06%	77	83	79	83.02	2.9
5265	20	18	19	18	20	15	19	29	 	92.94%	73	79	75	82.98	2.9
8193	19	18	19	19	18	17	18	27	 	91.18%	66	72	80	82.87	2.9
2896	18	19	18	18	19	14	19	28	 	90.00%	77	83	75	82.60	2.9
