last 4 digits of sid	assign1	assign2	assign3	assign4	assign5	assign6	assign7	assign8	bonus8	Late_Days	weekly %	midterm	new mid	final	total	grade
0725	20	19	19	20	20	20	20	29	 	1	98.24%	99	112	101	102.09	4
1425	20	20	20	18	18	20	19	30	 	 	97.06%	100	113	100	101.42	4
4029	19	19	18	18	19	17	19	28	2	1	93.53%	94	107	101	99.21	4
6031	19	18	20	20	20	19	20	26	2	1	96.47%	96	109	96	98.79	4
3111	20	14	20	20	19	15	17	29	2	5	91.76%	92	105	99	97.31	4
0308	19	17	18	19	20	19	20	30	 	3	95.29%	88	101	97	97.12	4
1724	20	19	19	19	20	19	20	28	 	5	96.47%	85	98	95	96.19	3.9
0764	18	18	19	19	20	17	19	29	 	 	93.53%	100	113	90	96.01	3.9
6904	17	19	20	17	19	20	19	28	2	4	94.71%	81	94	98	95.88	3.9
8626	19	19	19	19	19	14	20	27	 	 	91.76%	82	95	99	95.31	3.9
0842	19	19	18	16	20	17	19	30	2	3	94.12%	87	100	94	95.25	3.9
0749	19	18	19	19	20	19	20	28	 	2	95.29%	84	97	93	94.72	3.9
0399	20	19	19	19	20	16	17	28	 	 	92.94%	90	103	92	94.58	3.9
3514	19	19	20	20	20	19	17	26	 	 	94.12%	99	112	86	94.45	3.9
9683	20	18	20	19	16	11	18	28	 	4	88.24%	84	97	99	94.29	3.9
2946	20	20	19	20	19	19	19	28	2	 	97.65%	83	96	88	93.46	3.8
3827	20	15	18	16	18	18	19	30	 	4	90.59%	80	93	95	92.84	3.8
1661	20	15	17	19	19	19	18	29	2	2	92.94%	85	98	90	92.78	3.8
0598	20	20	19	20	19	14	19	27	 	4	92.94%	82	95	91	92.58	3.8
1400	18	17	15	18	16	18	20	28	2	 	89.41%	66	79	101	91.96	3.8
1836	19	20	19	20	20	19	19	28	2	 	97.65%	80	93	85	91.66	3.8
5742	19	20	20	20	19	20	19	27	 	5	96.47%	66	79	93	91.59	3.8
0897	18	16	18	18	19	19	20	29	 	3	92.35%	65	78	97	91.34	3.8
1341	20	16	18	19	20	18	17	20	 	 	87.06%	75	88	97	91.22	3.8
0472	19	15	18	17	16	20	14	26	 	 	85.29%	72	85	99	90.72	3.7
0466	20	18	18	20	18	17	20	29	 	4	94.12%	87	100	82	90.45	3.7
7569	20	19	20	20	19	17	18	28	2	1	95.88%	48	61	99	90.15	3.7
1839	16	17	19	16	17	14	18	29	 	5	85.88%	85	98	90	89.95	3.7
0069	19	14	18	19	20	18	19	28	 	4	91.18%	87	100	83	89.67	3.7
0973	19	16	18	19	17	17	16	29	 	 	88.82%	77	90	90	89.53	3.7
0510	16	16	19	19	20	18	15	30	 	1	90.00%	90	103	82	89.40	3.7
4241	20	17	19	19	17	19	18	26	 	5	91.18%	61	74	95	89.27	3.6
1896	19	19	19	20	19	20	16	26	 	1	92.94%	71	84	88	89.18	3.6
1129	20	17	17	18	16	17	19	30	2	1	91.76%	77	90	86	89.11	3.6
8555	15	20	19	18	17	17	18	26	 	4	88.24%	82	95	87	89.09	3.6
8733	18	18	17	18	20	18	19	28	2	2	92.94%	62	75	91	88.58	3.6
1087	17	17	16	17	16	16	20	27	 	1	85.88%	74	87	91	88.15	3.6
3632	19	13	17	16	19	13	19	27	 	5	84.12%	79	92	90	88.05	3.6
1630	19	18	18	19	17	16	18	27	 	 	89.41%	60	73	91	86.76	3.5
7604	19	18	17	20	14	14	20	25	 	2	86.47%	87	100	80	86.59	3.5
0795	17	18	19	18	19	18	17	25	2	 	90.00%	63	76	88	86.40	3.5
2446	19	12	16	18	16	17	17	26	 	 	82.94%	74	87	89	86.18	3.5
3162	19	14	20	20	18	17	19	26	2	1	91.18%	86	99	74	85.87	3.5
1281	20	19	18	17	19	17	16	23	 	2	87.65%	75	88	83	85.86	3.5
7253	19	17	16	18	19	17	19	25	2	1	89.41%	77	90	80	85.76	3.5
0123	20	18	13	17	20	15	20	28	 	2	88.82%	68	81	85	85.73	3.5
4468	19	16	18	19	18	17	18	26	 	4	88.82%	70	83	84	85.73	3.5
3158	19	17	14	18	17	16	15	27	 	5	84.12%	70	83	88	85.45	3.5
7525	19	20	17	17	19	19	19	30	 	5	94.12%	79	92	73	85.25	3.5
3279	14	10	10	17	14	14	16	30	 	4	73.53%	88	101	89	85.21	3.5
2247	16	17	15	18	19	17	18	27	 	2	86.47%	62	75	89	85.19	3.5
7593	19	18	19	20	18	13	18	28	 	5	90.00%	72	85	80	85.00	3.5
4818	17	18	17	15	17	9	15	28	 	3	80.00%	64	77	94	85.00	3.5
1088	20	17	19	17	17	14	19	28	0	 	88.82%	69	82	82	84.73	3.5
2885	19	17	17	20	17	16	18	27	 	4	88.82%	45	58	94	84.73	3.5
8612	18	16	15	20	19	17	16	29	 	1	88.24%	68	81	83	84.69	3.5
9695	18	18	19	19	15	15	17	27	 	2	87.06%	50	63	93	84.62	3.5
8378	20	16	17	17	17	19	19	26	 	5	88.82%	61	74	85	84.33	3.4
6228	19	17	13	15	15	19	16	27	 	3	82.94%	72	85	84	83.78	3.4
0086	19	19	15	17	19	16	20	24	 	1	87.65%	88	101	71	83.66	3.4
1879	19	9	17	17	17	 	20	27	 	5	74.12%	71	84	93	83.65	3.4
3623	17	13	15	18	11	14	18	20	 	5	74.12%	61	74	97	83.25	3.3
5137	19	20	18	18	19	19	20	28	 	2	94.71%	56	69	78	82.88	3.3
7776	13	14	13	17	18	14	16	26	2	 	78.24%	76	89	84	82.69	3.3
0600	19	15	17	17	17	16	19	27	 	 	86.47%	57	70	85	82.59	3.3
6758	19	18	11	19	16	15	16	28	 	1	83.53%	64	77	84	82.41	3.2
6055	15	14	15	16	19	15	19	28	 	4	82.94%	59	72	87	82.38	3.2
2453	20	17	20	19	19	15	17	28	 	3	91.18%	64	77	76	82.27	3.2
8310	20	18	18	20	16	17	16	24	 	1	87.65%	79	92	72	82.26	3.2
9767	19	19	19	18	17	17	15	26	 	5	88.24%	63	76	79	82.09	3.2
1586	18	16	19	20	18	18	16	29	 	5	90.59%	46	59	85	82.04	3.2
6706	19	19	12	19	17	17	18	27	 	1	87.06%	69	82	77	82.02	3.2
6180	15	17	18	14	15	14	15	27	 	2	79.41%	69	82	84	81.76	3.2
2908	17	12	16	18	15	10	17	18	 	3	72.35%	77	90	87	81.74	3.2
3053	20	19	14	18	19	18	17	22	 	 	86.47%	77	90	72	81.39	3.1
9017	18	18	19	18	18	16	17	28	 	4	89.41%	68	81	73	81.16	3.1
0256	19	17	15	20	18	18	20	25	2	5	90.59%	49	62	81	81.04	3.1
2469	19	18	18	19	19	16	19	12	 	4	82.35%	76	89	75	80.74	3.1
3812	18	12	18	19	19	19	16	26	 	5	86.47%	66	79	75	80.39	3
8016	19	13	18	17	19	17	16	29	 	2	87.06%	64	77	73	79.42	2.9
1146	14	14	12	17	14	17	18	25	 	5	77.06%	77	90	76	79.22	2.9
0830	20	18	17	19	19	17	20	28	 	3	92.94%	61	74	68	79.18	2.9
1133	19	18	19	16	20	17	19	30	 	3	92.94%	71	84	63	79.18	2.9
3581	18	12	14	16	18	16	17	26	 	1	80.59%	65	78	78	79.04	2.9
0928	17	14	10	18	13	18	16	24	 	5	76.47%	56	69	86	78.79	2.9
3540	18	13	15	18	16	15	15	25	 	1	79.41%	84	97	69	78.76	2.9
0664	14	12	16	17	18	12	15	20	 	2	72.94%	65	78	84	78.38	2.8
4798	20	13	17	19	18	18	19	27	 	2	88.82%	49	62	76	78.33	2.8
9220	17	20	17	16	18	13	18	25	 	2	84.71%	64	77	72	78.08	2.8
7149	19	17	16	20	16	15	20	27	 	5	88.24%	70	83	65	77.89	2.8
6374	19	19	14	18	16	15	19	27	 	5	86.47%	62	75	69	77.19	2.7
3282	19	17	19	18	19	17	17	29	 	1	91.18%	68	81	61	77.07	2.7
2188	19	17	10	15	15	19	18	28	 	3	82.94%	64	77	71	76.98	2.7
7382	14	15	16	18	17	17	18	23	 	3	81.18%	79	92	65	76.87	2.7
6494	18	20	16	20	14	16	15	27	 	5	85.88%	55	68	72	76.75	2.7
6749	18	5	14	18	19	18	19	28	0	2	81.76%	55	68	76	76.71	2.7
0641	19	20	19	19	18	18	13	27	 	2	90.00%	73	86	57	76.00	2.6
2210	17	12	17	16	14	14	18	26	 	1	78.82%	57	70	76	75.93	2.6
4456	15	14	11	17	16	16	19	29	 	1	80.59%	53	66	76	75.84	2.6
0491	18	12	16	16	19	15	14	11	 	2	71.18%	61	74	81	75.67	2.6
0948	15	15	12	14	15	13	17	13	 	4	67.06%	63	76	84	75.62	2.6
2971	17	7	17	13	14	16	16	24	 	5	72.94%	61	74	78	75.18	2.5
0197	17	10	17	15	17	14	17	24	 	3	77.06%	58	71	75	75.02	2.5
5420	19	14	17	16	15	13	16	26	 	4	80.00%	73	86	64	74.80	2.5
1110	19	19	16	16	16	19	11	28	 	5	84.71%	41	54	75	74.68	2.5
1470	18	8	7	13	18	19	14	30	 	 	74.71%	64	77	73	74.48	2.4
0564	16	17	18	15	15	10	19	22	 	 	77.65%	60	73	72	74.46	2.4
