last 4 digits of sid	assign1	assign2	assign3	assign4	assign5	assign6	assign7	assign8	bonus8	weekly %	midterm	new mid	final	new fin	total	grade
4237	20	20	18	19	20	19	20	29	 	97.06%	100	104	99	103	100.82	4
3835	19	19	15	20	19	20	20	30	2	96.47%	100	104	97	101	99.79	4
2602	20	17	19	18	20	18	20	28	 	94.12%	97	101	100	104	99.45	4
0608	20	18	19	18	20	17	18	27	2	93.53%	99	103	96	100	98.01	4
3080	20	18	19	20	20	18	20	28	 	95.88%	83	87	99	103	96.95	4
0903	20	20	20	19	20	17	19	30	 	97.06%	98	102	89	93	96.42	4
1297	20	19	19	20	20	18	20	29	2	98.24%	89	93	92	96	96.29	4
0113	15	15	20	18	18	20	20	30	 	91.76%	92	96	96	100	95.91	4
0731	20	17	19	20	15	16	20	28	 	91.18%	91	95	97	101	95.87	4
2007	19	19	20	20	19	20	20	30	 	98.24%	90	94	90	94	95.69	3.9
4253	20	20	20	19	19	17	19	27	 	94.71%	93	97	92	96	95.68	3.9
8310	17	17	18	17	19	15	19	27	 	87.65%	91	95	99	103	95.26	3.9
1558	20	19	18	20	20	20	20	29	 	97.65%	95	99	85	89	94.46	3.9
7658	19	16	17	18	19	14	19	27	 	87.65%	97	101	94	98	94.46	3.9
7972	18	18	20	18	17	14	15	26	 	85.88%	93	97	96	100	93.75	3.9
2671	20	17	19	20	19	18	20	29	 	95.29%	88	92	89	93	93.72	3.9
0427	20	19	19	20	19	17	20	29	 	95.88%	95	99	84	88	93.35	3.9
6994	18	15	19	20	20	16	20	28	 	91.76%	89	93	91	95	93.31	3.9
0007	16	19	16	16	19	16	19	28	 	87.65%	84	88	95	99	92.26	3.8
0319	20	19	20	19	20	18	20	21	 	92.35%	74	78	95	99	92.14	3.8
1425	17	19	16	20	20	14	20	28	 	90.59%	88	92	89	93	91.84	3.8
7448	16	19	20	18	20	19	17	30	 	93.53%	97	101	81	85	91.61	3.8
5559	19	17	18	20	16	19	18	27	 	90.59%	96	100	84	88	91.44	3.8
2468	20	18	17	18	19	17	20	29	 	92.94%	86	90	86	90	91.18	3.8
9812	9	18	18	18	19	15	17	26	 	82.35%	97	101	91	95	91.14	3.8
9565	19	19	19	19	19	20	20	29	2	97.65%	96	100	76	80	91.06	3.8
6621	18	19	19	18	19	19	20	26	 	92.94%	93	97	82	86	90.98	3.8
0153	17	12	17	17	15	19	19	27	 	84.12%	98	102	88	92	90.85	3.7
4615	20	20	18	14	20	18	16	27	 	90.00%	94	98	84	88	90.80	3.7
2326	20	19	16	17	18	16	20	24	2	89.41%	99	103	81	85	90.36	3.7
3776	18	20	19	19	20	19	18	29	0	95.29%	97	101	75	79	89.92	3.7
0534	20	19	20	19	19	19	16	29	 	94.71%	92	96	78	82	89.88	3.7
0179	18	20	20	19	19	20	18	27	 	94.71%	78	82	85	89	89.88	3.7
0803	18	17	19	20	16	19	19	27	 	91.18%	97	101	79	83	89.87	3.7
9642	20	19	18	18	19	17	20	29	 	94.12%	88	92	80	84	89.65	3.6
3887	20	19	18	17	20	18	18	30	2	95.29%	53	57	96	100	89.52	3.6
0366	20	18	19	17	16	16	17	27	 	88.24%	99	103	80	84	89.49	3.6
2962	20	19	16	18	18	14	19	30	 	90.59%	90	94	82	86	89.44	3.6
8239	19	19	18	19	16	15	20	28	 	90.59%	86	90	84	88	89.44	3.6
0505	18	12	20	18	19	18	19	29	 	90.00%	89	93	83	87	89.40	3.6
0308	19	14	19	19	17	19	18	28	 	90.00%	85	89	85	89	89.40	3.6
9611	15	19	16	19	20	19	20	30	 	92.94%	85	89	81	85	88.98	3.6
0507	19	17	19	20	19	20	20	29	 	95.88%	93	97	74	78	88.95	3.6
6915	19	19	18	18	18	18	17	29	 	91.76%	96	100	76	80	88.71	3.6
8802	20	19	18	18	19	17	20	27	 	92.94%	88	92	78	82	88.38	3.6
1222	19	16	17	18	19	15	19	24	 	86.47%	72	76	92	96	88.19	3.6
3259	20	17	15	17	19	15	20	19	 	83.53%	96	100	82	86	87.81	3.6
0796	18	17	16	19	19	15	19	29	 	89.41%	72	76	88	92	87.76	3.6
0336	19	17	20	20	20	20	 	29	 	85.29%	92	96	82	86	87.72	3.6
6143	19	19	17	18	15	 	20	24	 	77.65%	95	99	88	92	87.66	3.6
2107	19	18	15	20	19	19	20	30	 	94.12%	84	88	75	79	86.85	3.5
3071	20	18	20	17	17	16	20	29	 	92.35%	88	92	74	78	86.54	3.5
6346	20	19	20	20	19	19	17	27	 	94.71%	81	85	75	79	86.48	3.5
5259	19	16	16	18	18	17	20	28	 	89.41%	71	75	85	89	86.36	3.5
7066	19	17	17	19	16	17	18	27	 	88.24%	69	73	87	91	86.29	3.5
1748	18	17	19	19	18	17	19	28	0	91.18%	78	82	79	83	86.07	3.5
1744	19	15	19	20	19	17	20	30	 	93.53%	85	89	73	77	86.01	3.5
2701	20	19	18	19	19	17	18	22	 	89.41%	89	93	75	79	85.96	3.5
0428	20	18	16	16	13	14	19	29	 	85.29%	71	75	88	92	85.92	3.5
0048	20	19	20	18	18	17	19	29	 	94.12%	73	77	78	82	85.85	3.5
3212	20	11	18	17	17	19	19	27	 	87.06%	79	83	82	86	85.82	3.5
2543	18	16	17	19	19	20	20	27	 	91.76%	83	87	75	79	85.71	3.5
