last 4 digits of sid	assign1	assign2	assign3	assign4	assign5	assign6	assign7	assign8	bonus8	Late_Days	weekly %	midterm	final	total	grade
1377	20	20	19	20	19	18	20	29	2	1	98.24%	100	101	99.69	4
0703	20	20	20	20	20	18	20	29	 	1	98.24%	93	101	98.29	4
9489	20	19	19	19	19	20	20	29	2	1	98.24%	100	97	98.09	4
5652	20	20	19	19	19	18	19	30	 	2	96.47%	100	98	97.79	4
2832	20	20	20	20	20	19	20	30	0	 	99.41%	93	98	97.56	4
8357	20	19	19	19	18	18	18	30	 	3	94.71%	98	100	97.48	4
2830	20	19	16	17	19	18	20	29	2	0	94.12%	99	98	96.65	4
1112	19	19	20	18	20	20	19	21	 	3	91.76%	96	101	96.31	4
1824	18	18	19	20	20	16	20	30	0	1	94.71%	89	101	96.08	4
7057	18	16	19	20	19	19	20	27	 	1	92.94%	100	97	95.98	3.9
1398	20	20	19	18	17	18	19	22	2	5	91.18%	95	101	95.87	3.9
0657	19	16	18	20	20	18	19	29	0	2	93.53%	92	100	95.81	3.9
6692	20	19	18	20	19	19	20	30	2	3	98.24%	90	96	95.69	3.9
2179	19	17	19	17	20	20	19	26	 	3	92.35%	94	99	95.34	3.9
0185	19	16	20	20	18	18	19	30	 	2	94.12%	95	96	95.05	3.9
9417	17	18	18	17	19	19	20	26	 	2	90.59%	94	100	95.04	3.9
1684	20	19	20	20	20	20	20	30	2	2	100.59%	90	92	95.04	3.9
0712	20	19	20	20	20	18	20	29	 	0	97.65%	88	95	94.66	3.9
2179	20	18	20	19	20	19	19	27	0	4	95.29%	100	91	94.52	3.9
2003	20	19	20	19	19	20	20	30	 	4	98.24%	99	88	94.29	3.9
5318	20	18	19	20	20	18	19	30	0	5	96.47%	84	97	94.19	3.9
0855	20	20	20	20	20	20	20	29	0	3	99.41%	92	90	94.16	3.9
4269	20	17	18	16	17	16	19	28	2	1	90.00%	100	95	94.00	3.8
1925	20	20	19	19	20	17	20	30	2	5	98.24%	95	89	93.89	3.8
9995	20	17	17	18	18	18	20	28	 	3	91.76%	95	95	93.71	3.8
7754	19	19	20	19	20	19	20	27	 	 	95.88%	85	95	93.35	3.8
9827	20	15	18	20	19	18	20	27	 	5	92.35%	98	92	93.34	3.8
9432	19	19	20	18	19	18	20	30	2	 	97.06%	98	87	93.22	3.8
1407	20	16	17	20	19	18	20	28	 	2	92.94%	86	97	93.18	3.8
7780	20	20	19	20	20	19	19	30	0	1	98.24%	95	87	93.09	3.8
1874	19	17	18	19	19	19	19	27	 	1	92.35%	84	98	92.94	3.7
2716	20	15	19	20	18	19	20	30	0	3	94.71%	89	93	92.88	3.7
7026	20	16	20	20	20	18	20	29	2	0	97.06%	87	91	92.62	3.7
1557	19	17	20	19	20	16	19	26	0	1	91.76%	81	99	92.51	3.7
0228	20	20	20	19	18	17	19	28	 	 	94.71%	99	87	92.48	3.7
0771	20	19	19	19	20	20	17	29	 	5	95.88%	84	93	92.35	3.7
0210	20	17	19	19	20	19	20	29	2	0	97.06%	89	89	92.22	3.7
2525	20	17	20	18	18	18	20	27	 	1	92.94%	93	91	92.18	3.7
0182	18	16	16	18	20	18	20	29	 	 	91.18%	92	93	92.07	3.7
5158	16	16	16	17	18	14	20	29	2	2	87.06%	96	95	92.02	3.7
8615	20	20	16	19	19	19	19	30	 	1	95.29%	90	89	91.72	3.7
3446	20	19	20	20	20	19	19	28	0	0	97.06%	96	84	91.62	3.7
3800	17	17	20	19	19	17	15	25	 	 	87.65%	94	94	91.46	3.7
7165	18	14	20	15	19	20	19	30	0	3	91.18%	85	94	91.07	3.7
0303	19	19	17	19	18	17	19	27	 	1	91.18%	95	89	91.07	3.7
5917	19	17	19	19	20	18	20	29	2	1	95.88%	90	85	90.35	3.6
1268	20	17	18	18	20	20	20	28	 	3	94.71%	84	89	90.28	3.6
0805	17	18	16	17	19	16	19	28	 	5	88.24%	98	88	90.09	3.6
2597	20	17	17	20	18	19	20	28	2	 	94.71%	91	85	90.08	3.6
2745	19	15	15	15	20	13	17	30	 	3	84.71%	88	96	89.88	3.6
3656	16	15	18	19	19	17	19	29	0	4	89.41%	89	89	89.16	3.6
9513	20	18	17	19	19	15	17	26	 	 	88.82%	86	91	89.13	3.6
2896	20	19	18	18	18	17	19	28	 	4	92.35%	88	86	88.94	3.6
0066	19	17	19	18	20	18	19	29	 	0	93.53%	99	79	88.81	3.5
0943	20	18	20	20	20	18	19	28	0	1	95.88%	92	80	88.75	3.5
0068	20	15	19	18	19	18	20	28	0	2	92.35%	87	86	88.74	3.5
0567	19	20	19	20	20	19	20	30	0	4	98.24%	99	74	88.69	3.5
0080	20	19	19	18	19	17	19	27	 	5	92.94%	73	92	88.58	3.5
0740	19	17	18	20	19	19	19	26	 	0	92.35%	96	81	88.54	3.5
8812	18	19	17	19	19	17	18	30	0	1	92.35%	93	82	88.34	3.5
0698	19	19	17	18	18	20	19	30	2	1	95.29%	81	85	88.32	3.5
8735	19	20	19	18	17	19	20	29	0	2	94.71%	88	82	88.28	3.5
2563	18	17	16	20	19	17	20	29	 	2	91.76%	91	83	88.11	3.5
3436	20	15	19	17	19	19	20	22	 	 	88.82%	94	84	87.93	3.5
0383	17	18	20	19	20	19	20	29	 	 	95.29%	89	80	87.92	3.5
5546	18	19	19	20	18	20	19	30	2	2	97.06%	87	79	87.82	3.5
6064	19	19	19	20	20	18	20	28	 	5	95.88%	91	78	87.75	3.5
4179	18	16	17	19	19	20	20	29	 	4	92.94%	84	84	87.58	3.5
1112	18	17	18	17	18	19	19	29	2	0	92.35%	86	83	87.34	3.5
7715	17	17	18	17	20	18	19	30	 	0	91.76%	90	80	86.71	3.4
5903	20	16	19	18	20	18	18	28	 	2	92.35%	78	85	86.54	3.4
1872	19	18	18	17	15	15	17	28	2	3	87.65%	83	87	86.46	3.4
1853	20	18	18	19	18	18	19	30	2	1	95.29%	85	78	86.32	3.4
2420	20	19	20	20	16	20	20	26	0	5	94.71%	70	86	86.28	3.4
0371	17	13	18	18	17	17	20	28	 	1	87.06%	91	83	86.22	3.4
1916	19	19	19	18	17	18	19	29	 	 	92.94%	82	81	85.98	3.4
6690	19	10	18	19	20	19	20	29	0	4	90.59%	86	81	85.84	3.3
3764	18	17	19	19	16	17	20	15	0	2	82.94%	83	90	85.78	3.3
9683	17	16	19	20	16	19	18	29	 	5	90.59%	77	85	85.64	3.3
7183	20	19	17	19	17	18	20	28	 	 	92.94%	94	74	85.58	3.3
4039	20	15	16	20	20	17	17	30	0	3	91.18%	85	80	85.47	3.3
