last 4 digits of sid	assign1	assign2	assign3	assign4	assign5	assign6	assign7	assign8	bonus8	weekly %	midterm	new mid	final	total	grade
1951	19	18	19	19	19	18	20	30	2	96.47%	88	102	97	97.79	4
4503	19	19	16	19	18	18	20	26	 	91.18%	98	112	97	97.67	4
0329	19	17	20	18	20	18	20	30	2	96.47%	83	97	99	97.59	4
3521	20	19	19	19	20	18	19	26	 	94.12%	87	101	99	97.45	4
0981	19	19	20	19	20	17	20	29	 	95.88%	84	98	98	97.15	4
9969	20	19	20	18	18	16	20	28	 	93.53%	83	97	98	96.01	4
1149	20	20	19	20	19	14	17	29	2	94.12%	86	100	94	95.25	4
0496	20	19	18	19	19	18	20	29	2	96.47%	86	100	91	94.99	4
8682	14	20	19	17	16	19	19	23	 	86.47%	89	103	99	94.79	4
0829	19	16	16	19	18	16	19	29	 	89.41%	92	106	93	94.16	4
8356	19	16	17	17	20	17	18	26	 	88.24%	84	98	98	94.09	4
1390	19	17	19	19	17	20	17	30	 	92.94%	74	88	96	93.18	3.9
0654	17	17	17	19	19	16	20	29	 	90.59%	86	100	92	93.04	3.9
1168	20	20	18	20	20	15	16	29	 	92.94%	93	107	86	92.98	3.9
4274	19	20	19	18	18	18	20	29	2	95.88%	66	80	96	92.75	3.9
1862	17	19	20	19	18	17	19	29	 	92.94%	73	87	95	92.58	3.9
8765	20	18	20	20	20	20	20	30	 	98.82%	84	98	83	92.33	3.9
1566	17	17	18	18	17	19	19	30	2	92.35%	74	88	94	92.14	3.9
0346	20	18	17	20	20	17	18	30	 	94.12%	84	98	87	92.05	3.9
0747	19	18	17	16	19	19	20	30	 	92.94%	80	94	90	91.98	3.9
7339	20	19	16	18	20	17	16	27	2	91.18%	69	83	97	91.87	3.9
1887	19	19	20	19	19	20	20	30	2	98.82%	71	85	87	91.33	3.9
0062	17	17	16	18	19	18	19	29	 	90.00%	71	85	95	91.00	3.8
8717	17	19	18	18	16	17	19	30	 	90.59%	75	89	92	90.84	3.8
6203	19	16	13	14	20	17	18	30	 	86.47%	67	81	100	90.79	3.8
1506	16	20	19	20	19	20	19	29	 	95.29%	78	92	85	90.52	3.8
1183	16	17	18	17	19	19	20	30	 	91.76%	85	99	85	90.51	3.8
0617	19	20	17	18	19	17	18	27	 	91.18%	83	97	86	90.27	3.8
0480	19	17	15	19	18	19	12	29	 	87.06%	85	99	89	90.22	3.8
0944	18	18	15	18	17	8	19	16	 	75.88%	83	97	100	89.75	3.7
0541	19	19	18	19	17	18	16	30	 	91.76%	69	83	91	89.71	3.7
0886	18	17	18	19	20	17	18	28	 	91.18%	70	84	91	89.67	3.7
1771	18	16	17	17	18	19	17	27	 	87.65%	76	90	91	89.46	3.7
