last 4 digits of sid	assign1	assign2	assign3	assign4	assign5	assign6	assign7	assign8	bonus8	Late_Days	weekly %	midterm	new mid	final	total	grade
8845	20	20	20	19	20	17	20	29	2	 	98.24%	99	103	101	100.29	4
1631	20	19	20	20	19	17	20	30	2	2	98.24%	95	99	100	99.09	4
7909	19	19	20	20	20	20	20	30	2	 	100.00%	94	98	97	98.40	4
4509	20	19	16	19	20	19	19	29	 	 	94.71%	91	95	100	96.88	4
5560	19	18	18	19	16	17	20	28	2	1	92.35%	96	100	99	96.54	4
0290	20	19	18	19	19	19	20	29	2	 	97.06%	81	85	101	96.22	4
1763	19	18	18	18	17	20	17	29	 	 	91.76%	99	103	96	95.71	4
4183	20	20	20	18	19	18	18	29	 	4	95.29%	97	101	93	95.52	4
1707	20	19	20	18	19	19	19	27	 	5	94.71%	86	90	99	95.48	4
3118	20	16	20	20	18	18	19	26	 	2	92.35%	90	94	98	94.94	4
1393	20	17	16	18	18	18	20	30	 	 	92.35%	93	97	96	94.74	4
1128	20	19	18	20	19	18	20	28	 	1	95.29%	95	99	92	94.72	4
6523	20	19	15	20	19	20	20	28	2	 	95.88%	91	95	93	94.55	4
0950	19	18	20	19	20	20	20	28	 	 	96.47%	91	95	92	94.39	3.9
0486	19	20	19	20	19	18	19	29	 	2	95.88%	82	86	97	94.35	3.9
8087	19	16	16	19	19	19	20	29	 	5	92.35%	86	90	98	94.14	3.9
1615	17	17	16	19	20	17	19	26	 	 	88.82%	95	99	97	94.13	3.9
0409	20	17	18	20	18	16	19	27	 	 	91.18%	93	97	95	93.87	3.9
0403	20	19	19	18	19	20	20	29	2	1	97.65%	96	100	87	93.86	3.9
0521	20	19	18	20	20	19	20	25	2	 	95.88%	87	91	93	93.75	3.9
8827	18	19	15	19	17	20	18	19	2	 	86.47%	89	93	101	93.59	3.9
5468	18	20	19	17	17	19	17	27	2	1	91.76%	96	100	92	93.51	3.9
8829	18	18	19	19	19	20	19	27	0	2	93.53%	80	84	98	93.41	3.9
5921	20	19	18	20	20	19	19	28	 	4	95.88%	83	87	94	93.35	3.9
1568	20	20	19	19	20	19	20	30	 	4	98.24%	88	92	89	93.29	3.9
5450	19	19	17	20	20	20	20	30	2	 	98.24%	86	90	90	93.29	3.9
1333	19	17	17	20	20	20	20	30	0	2	95.88%	83	87	93	92.95	3.8
8655	19	17	15	19	15	19	20	29	2	1	91.18%	90	94	94	92.87	3.8
0228	19	20	18	19	20	17	20	27	 	3	94.12%	82	86	95	92.85	3.8
7268	19	18	19	17	19	20	20	27	 	4	93.53%	85	89	94	92.81	3.8
2263	20	20	20	19	20	18	20	29	 	1	97.65%	86	90	89	92.66	3.8
6076	20	16	20	19	18	18	20	27	 	5	92.94%	76	80	98	92.38	3.8
7854	18	18	17	17	17	18	20	26	 	3	88.82%	88	92	96	92.33	3.8
2371	19	19	17	19	20	18	17	26	 	3	91.18%	92	96	91	92.07	3.8
8873	18	18	19	18	19	18	15	26	 	3	88.82%	94	98	92	91.93	3.8
5010	19	18	18	19	20	19	19	30	 	3	95.29%	82	86	91	91.72	3.8
6343	20	18	18	18	19	15	16	28	2	3	90.59%	90	94	91	91.44	3.8
4367	19	17	18	20	17	15	18	26	2	2	89.41%	86	90	94	91.36	3.7
0368	19	19	17	20	20	20	19	25	 	4	93.53%	89	93	88	91.21	3.7
0944	19	18	11	18	15	18	15	27	 	3	82.94%	94	98	96	91.18	3.7
3758	20	20	19	20	15	19	19	27	2	3	94.71%	77	81	92	90.88	3.7
2419	20	20	19	19	20	20	19	30	 	3	98.24%	88	92	82	90.49	3.7
0845	17	17	17	19	18	19	16	27	 	 	88.24%	76	80	98	90.49	3.7
3502	19	18	19	20	17	17	20	23	 	1	90.00%	91	95	88	90.20	3.7
1983	18	19	17	17	19	19	17	23	 	4	87.65%	83	87	93	89.66	3.7
9051	19	16	18	20	19	19	19	27	2	 	93.53%	83	87	87	89.61	3.7
0713	17	16	7	19	19	18	18	30	2	2	85.88%	94	98	89	89.55	3.7
2105	19	18	17	20	18	17	18	21	 	3	87.06%	75	79	96	89.02	3.6
0235	18	12	18	20	15	18	15	29	2	4	86.47%	82	86	93	88.99	3.6
1714	20	16	17	17	17	20	19	26	 	1	89.41%	78	82	92	88.96	3.6
2398	17	16	19	18	20	18	16	23	2	5	87.65%	91	95	87	88.86	3.6
0986	19	18	18	19	17	15	20	29	 	4	91.18%	85	89	86	88.67	3.6
2020	18	16	19	17	17	17	20	30	 	2	90.59%	84	88	87	88.64	3.6
8973	19	13	14	18	20	17	19	29	2	 	88.82%	89	93	86	88.53	3.6
1123	18	18	18	19	19	14	20	29	 	3	91.18%	78	82	89	88.47	3.6
0700	20	20	20	20	20	20	20	30	 	3	100.00%	82	86	78	88.40	3.6
3744	19	17	15	19	16	16	14	24	 	1	82.35%	89	93	92	88.34	3.6
3288	19	15	18	19	20	17	19	27	 	4	90.59%	82	86	87	88.24	3.6
1360	20	17	19	19	17	16	20	30	 	4	92.94%	91	95	80	88.18	3.6
0504	20	17	14	18	16	17	15	26	 	 	84.12%	88	92	90	88.05	3.6
5985	19	18	19	18	19	19	16	28	2	1	92.94%	90	94	80	87.98	3.6
1737	15	20	20	18	19	18	19	29	 	 	92.94%	82	86	84	87.98	3.6
9569	19	17	20	19	19	18	16	21	2	 	88.82%	80	84	89	87.93	3.6
9688	15	17	17	18	20	18	20	25	 	 	88.24%	91	95	84	87.89	3.6
0414	19	17	20	19	19	14	12	21	 	2	82.94%	85	89	92	87.78	3.6
9904	20	20	19	17	17	17	17	25	 	3	89.41%	78	82	89	87.76	3.6
5356	18	19	19	16	17	13	16	27	 	2	85.29%	85	89	89	87.52	3.5
7223	20	13	15	16	20	19	20	27	 	2	88.24%	87	91	85	87.49	3.5
1225	20	18	18	18	20	20	20	25	2	2	94.71%	81	85	81	87.28	3.5
2203	18	16	18	20	18	18	19	29	 	5	91.76%	86	90	81	87.11	3.5
7245	20	14	19	17	13	18	17	26	 	5	84.71%	86	90	88	87.08	3.5
8327	20	20	20	19	18	17	20	27	 	1	94.71%	72	76	85	87.08	3.5
3554	18	15	17	17	16	18	19	27	 	4	86.47%	88	92	85	86.99	3.5
5895	19	16	20	18	0	20	17	29	2	 	82.94%	89	93	88	86.98	3.5
1300	20	17	18	18	16	16	16	18	 	1	81.76%	87	91	90	86.91	3.5
0532	18	13	17	12	20	18	20	28	 	 	85.88%	94	98	82	86.75	3.5
5442	17	17	20	18	19	14	15	28	2	2	88.24%	87	91	83	86.69	3.5
2114	19	16	16	15	19	18	12	28	 	5	84.12%	77	81	92	86.65	3.5
1360	20	19	18	18	18	20	18	29	 	1	94.12%	79	83	80	86.25	3.5
7531	18	20	16	19	17	20	19	24	 	4	90.00%	79	83	84	86.20	3.5
6262	18	15	19	19	19	18	19	30	 	4	92.35%	74	78	84	86.14	3.5
2449	19	18	15	19	16	17	17	27	 	 	87.06%	76	80	88	86.02	3.5
6794	18	19	20	19	19	18	19	28	2	 	95.29%	83	87	76	85.92	3.5
0828	19	17	16	17	17	15	19	19	 	4	81.76%	87	91	87	85.71	3.5
3002	18	17	19	16	17	15	19	27	 	2	87.06%	84	88	83	85.62	3.5
8169	15	20	20	20	19	17	19	27	2	3	93.53%	81	85	78	85.61	3.5
5015	19	15	19	19	17	18	17	23	 	1	86.47%	85	89	83	85.59	3.4
8883	18	18	15	17	19	18	20	27	 	0	89.41%	85	89	80	85.56	3.4
3236	19	18	17	19	20	20	19	18	2	 	89.41%	75	79	85	85.56	3.4
1861	20	19	20	18	18	20	19	27	 	5	94.71%	88	92	73	85.48	3.4
0308	18	19	18	19	18	15	17	25	 	 	87.65%	94	98	77	85.46	3.4
0800	16	16	16	20	17	18	20	26	 	3	87.65%	76	80	86	85.46	3.4
0974	20	17	17	18	17	15	18	24	 	2	85.88%	82	86	84	85.15	3.4
3986	20	17	18	18	18	16	19	14	 	4	82.35%	73	77	92	85.14	3.4
1127	19	13	19	20	18	16	18	28	 	5	88.82%	84	88	80	85.13	3.4
3598	20	18	18	20	18	15	18	26	 	3	90.00%	83	87	79	85.00	3.4
6200	19	 	19	19	17	18	20	28	 	 	82.35%	84	88	86	84.94	3.4
5046	20	18	17	18	20	19	19	30	 	3	94.71%	79	83	76	84.88	3.4
7269	19	16	17	18	20	18	16	29	 	5	90.00%	87	91	76	84.60	3.4
7017	20	19	20	20	20	15	20	28	 	1	95.29%	92	96	68	84.52	3.3
1013	19	18	15	17	20	11	12	25	 	5	80.59%	95	99	81	84.44	3.3
0072	20	20	20	18	17	16	20	28	 	5	93.53%	85	89	73	84.41	3.3
