last 4 digits of sid	assign1	assign2	assign3	assign4	assign5	assign6	assign7	assign8	Late_Days	section	weekly %	midterm	final	new fin	total	grade
5555	10	15	20	20	20	19	18	18	 	20	96.39%	99	98	104	99.95	4
0631	10	16	20	20	18	20	19	18	1	20	96.99%	97	98	104	99.80	4
3279	10	16	20	20	19	20	19	19	 	20	98.19%	96	97	103	99.68	4
6594	10	16	20	20	20	20	20	20	5	20	100.00%	97	94	100	99.40	4
9836	9	16	20	20	20	19	19	20	-1	20	98.19%	96	96	102	99.28	4
1795	9	16	20	20	18	20	20	18	2	20	96.99%	100	95	101	99.20	4
4150	10	16	20	20	20	20	19	20	-1	20	99.40%	99	93	99	99.16	4
2280	10	16	20	19	18	20	19	20	-1	20	97.59%	97	94	100	98.44	4
0130	10	16	19	19	18	18	19	19	2	18	93.98%	94	99	105	98.39	4
2287	8	16	20	20	19	19	20	20	 	20	97.59%	94	95	101	98.24	4
1002	10	16	20	20	18	20	20	20	 	20	98.80%	98	91	97	97.92	4
3900	10	16	20	20	18	20	20	20	-1	20	98.80%	91	94	100	97.72	4
1155	10	15	20	19	18	18	20	17	2	20	94.58%	92	97	103	97.43	4
0560	10	16	19	20	18	20	19	19	 	20	96.99%	91	95	101	97.40	4
1044	10	16	20	20	18	19	20	20	3	20	98.19%	96	91	97	97.28	4
1328	9	16	19	19	20	20	20	20	 	20	98.19%	91	93	99	97.08	4
4036	10	16	19	20	19	19	18	19	2	20	96.39%	96	92	98	96.95	4
0209	9	16	20	20	18	20	20	19	1	20	97.59%	98	89	95	96.64	4
0373	10	16	20	20	19	18	18	19	4	20	96.39%	94	92	98	96.55	4
3960	10	16	20	19	19	19	20	20	1	20	98.19%	96	89	95	96.48	4
8246	10	16	20	20	19	20	20	20	1	20	99.40%	95	88	94	96.36	4
4792	9	16	18	20	18	20	20	18	2	20	95.78%	90	94	100	96.31	4
3552	9	15	20	20	19	20	20	20	4	20	98.19%	91	91	97	96.28	4
2355	10	16	20	19	19	19	20	19	1	20	97.59%	88	93	99	96.24	4
8716	9	15	18	19	17	19	19	19	2	20	93.37%	92	95	101	96.15	4
0515	7	16	20	19	18	17	18	18	 	20	92.17%	96	94	100	96.07	4
1612	10	16	20	20	20	18	17	19	2	20	96.39%	94	90	96	95.75	3.9
2292	8	16	20	19	18	16	19	18	1	20	92.77%	89	96	102	95.71	3.9
7021	9	15	20	16	18	18	18	19	 	20	92.17%	95	93	99	95.47	3.9
6113	9	15	20	20	19	20	20	19	4	20	97.59%	96	87	93	95.44	3.9
1598	9	16	20	19	19	19	19	18	 	20	95.78%	99	87	93	95.31	3.9
4322	10	15	20	20	19	19	20	20	 	20	98.19%	82	93	99	95.28	3.9
0769	10	14	19	19	19	19	18	19	 	20	94.58%	95	90	96	95.23	3.9
3093	9	16	20	18	19	19	20	20	 	20	96.99%	100	85	91	95.20	3.9
3064	10	16	20	18	18	18	18	19	 	20	94.58%	85	94	100	94.83	3.9
2028	10	16	19	20	19	20	20	20	 	20	98.80%	94	85	91	94.72	3.9
2917	9	16	19	20	20	20	19	18	-1	20	96.99%	93	87	93	94.60	3.9
7344	10	16	19	20	17	17	18	19	5	20	93.98%	95	89	95	94.59	3.9
0093	10	15	18	19	19	15	19	20	 	20	93.37%	96	89	95	94.55	3.9
9266	9	15	17	18	19	19	18	20	1	20	93.37%	96	89	95	94.55	3.9
0938	10	15	20	19	16	19	17	18	2	20	92.77%	95	90	96	94.51	3.9
6907	10	16	18	16	17	19	19	20	1	20	93.37%	87	93	99	94.35	3.9
2583	9	16	19	20	19	18	19	19	 	20	95.78%	92	88	94	94.31	3.9
3033	10	16	19	17	16	18	18	20	 	20	92.77%	96	89	95	94.31	3.9
1101	 	16	20	19	18	17	18	20	4	20	89.16%	97	92	98	94.26	3.9
1335	10	16	20	19	19	19	18	20	3	20	96.99%	83	91	97	94.20	3.9
0868	9	15	18	18	19	18	20	18	2	20	93.37%	94	89	95	94.15	3.8
4313	10	16	20	20	19	18	16	20	3	20	95.78%	91	88	94	94.11	3.8
1951	9	15	20	17	18	16	19	20	4	20	92.77%	91	91	97	94.11	3.8
3071	9	16	19	18	16	19	19	17	2	20	92.17%	92	91	97	94.07	3.8
3804	10	16	18	19	18	20	16	19	5	20	93.98%	88	91	97	93.99	3.8
2759	10	16	20	20	16	20	19	19	 	20	96.39%	91	87	93	93.95	3.8
0312	10	16	20	20	19	20	20	18	2	20	98.19%	87	87	93	93.88	3.8
1392	9	16	20	20	19	20	18	19	2	20	96.99%	93	85	91	93.80	3.8
9777	10	9	19	19	19	19	19	20	5	20	92.77%	89	91	97	93.71	3.8
4363	10	16	20	20	19	17	18	18	4	20	95.18%	96	85	91	93.67	3.8
8826	10	16	19	18	17	20	19	17	4	20	93.98%	82	93	99	93.59	3.8
6088	8	15	20	16	17	18	18	19	 	20	90.96%	86	94	100	93.59	3.8
0534	8	16	20	16	20	20	19	20	 	20	95.78%	96	84	90	93.51	3.8
0215	10	16	20	19	19	15	20	20	2	20	95.78%	96	84	90	93.51	3.8
3381	10	15	19	19	17	18	20	19	 	20	94.58%	94	86	92	93.43	3.8
4161	10	16	20	20	18	19	20	18	3	20	96.99%	89	86	92	93.40	3.8
0746	9	15	19	20	19	20	19	20	 	20	96.99%	91	85	91	93.40	3.8
6189	10	16	20	20	19	20	19	20	2	20	98.80%	91	83	89	93.32	3.8
5766	10	15	19	17	18	18	18	19	 	20	92.77%	95	87	93	93.31	3.8
4612	9	15	20	19	18	15	19	19	0	20	92.77%	95	87	93	93.31	3.8
8366	10	16	20	19	20	19	19	19	2	20	97.59%	95	82	88	93.24	3.8
2111	10	15	19	18	19	18	18	18	2	20	93.37%	87	90	96	93.15	3.8
2172	8	15	20	20	18	19	19	20	2	20	95.78%	96	83	89	93.11	3.8
0873	10	16	17	19	17	16	18	18	 	20	90.96%	97	87	93	92.99	3.8
8779	10	16	19	19	19	18	20	18	2	20	95.78%	93	84	90	92.91	3.7
5494	9	16	19	19	18	16	18	19	4	20	92.77%	91	88	94	92.91	3.7
1492	10	15	19	19	18	18	16	19	5	20	92.77%	89	89	95	92.91	3.7
1149	10	16	20	17	18	19	18	19	 	20	94.58%	93	85	91	92.83	3.7
4500	7	16	19	18	17	20	20	19	3	20	93.98%	84	90	96	92.79	3.7
2527	10	16	19	20	19	20	19	19	4	20	97.59%	86	85	91	92.64	3.7
8990	10	16	19	19	16	19	19	19	3	15	91.57%	92	88	94	92.63	3.7
0418	10	15	19	19	19	18	15	20	2	20	93.37%	90	87	93	92.55	3.7
1593	10	16	19	17	17	20	20	20	3	20	95.78%	87	86	92	92.51	3.7
5849	8	15	17	19	17	20	19	18	1	20	92.17%	96	85	91	92.47	3.7
5545	10	16	20	19	19	18	17	18	3	20	94.58%	95	83	89	92.43	3.7
0375	8	16	19	20	15	16	20	18	5	20	91.57%	93	87	93	92.43	3.7
2227	10	16	19	20	19	20	19	17	 	20	96.39%	87	85	91	92.35	3.7
0262	10	14	19	20	19	16	17	20	3	20	93.37%	89	87	93	92.35	3.7
8863	9	15	20	19	19	18	19	19	1	20	95.18%	85	87	93	92.27	3.7
0503	9	16	17	18	19	20	18	19	2	20	93.98%	93	84	90	92.19	3.7
4673	6	10	18	17	11	16	20	18	1	20	81.93%	97	94	100	92.17	3.7
0097	10	16	19	20	16	20	20	19	3	20	96.39%	90	83	89	92.15	3.7
9888	9	16	20	20	19	17	19	20	1	20	96.39%	80	88	94	92.15	3.7
0469	9	15	20	19	17	18	19	18	 	20	93.37%	88	87	93	92.15	3.7
2241	10	15	19	18	19	19	19	20	-1	20	95.78%	99	79	85	92.11	3.7
0353	8	14	17	16	19	18	18	18	 	20	89.16%	82	94	100	92.06	3.7
2553	10	16	20	19	17	20	17	18	 	20	94.58%	83	88	94	92.03	3.7
3060	9	16	20	18	17	17	17	17	-1	20	90.96%	83	91	97	91.79	3.6
2430	9	16	17	15	19	16	19	20	 	20	90.96%	87	89	95	91.79	3.6
8131	9	16	17	19	17	18	18	12	5	20	87.95%	91	90	96	91.78	3.6
3899	9	16	19	20	20	20	20	20	 	20	98.80%	87	81	87	91.72	3.6
1290	10	16	20	20	19	18	20	19	3	20	97.59%	89	81	87	91.64	3.6
1055	10	16	20	19	19	19	20	19	2	20	97.59%	91	80	86	91.64	3.6
9367	9	15	20	17	18	15	18	17	5	20	89.76%	94	86	92	91.50	3.6
9644	7	16	19	19	17	13	19	17	1	20	88.55%	96	86	92	91.42	3.6
5259	8	15	18	18	17	16	19	16	 	20	88.55%	92	88	94	91.42	3.6
3686	9	16	20	20	19	16	18	18	1	20	93.98%	91	83	89	91.39	3.6
2781	9	16	16	19	18	17	17	19	2	20	90.96%	95	84	90	91.39	3.6
4227	9	16	20	18	15	18	20	17	5	20	92.17%	88	86	92	91.27	3.6
2656	9	16	20	20	20	18	20	19	1	20	97.59%	83	83	89	91.24	3.6
9157	10	16	20	19	18	18	18	17	5	20	93.98%	88	84	90	91.19	3.6
1737	9	14	 	20	18	16	19	20	 	20	81.93%	96	92	98	91.17	3.6
1676	10	15	20	19	18	19	19	20	 	20	96.39%	93	79	85	91.15	3.6
8721	8	16	19	20	19	18	15	20	5	20	93.37%	81	88	94	91.15	3.6
7771	9	16	19	20	18	17	18	20	1	20	94.58%	84	85	91	91.03	3.6
5288	10	16	18	18	17	16	20	20	 	20	93.37%	92	82	88	90.95	3.6
0776	10	16	20	18	18	19	19	19	2	20	95.78%	91	80	86	90.91	3.6
0985	6	16	17	20	19	17	19	19	5	20	92.17%	94	82	88	90.87	3.6
7989	9	16	18	19	19	16	18	20	1	20	93.37%	91	82	88	90.75	3.5
1939	10	16	16	16	19	17	18	18	 	20	90.36%	89	86	92	90.74	3.5
6761	10	16	20	20	18	18	20	20	4	20	97.59%	80	83	89	90.64	3.5
0021	8	14	17	18	18	20	16	19	 	20	90.36%	94	83	89	90.54	3.5
1320	10	16	20	20	17	17	20	19	2	20	95.78%	89	80	86	90.51	3.5
2251	8	16	16	15	16	14	18	16	 	20	83.73%	87	93	99	90.49	3.5
1821	10	16	20	20	15	19	20	18	3	20	95.18%	88	81	87	90.47	3.5
8189	9	15	19	19	15	17	17	17	4	20	89.16%	90	86	92	90.46	3.5
5816	10	16	20	18	18	20	20	20	 	20	97.59%	93	76	82	90.44	3.5
8136	9	15	19	19	18	18	17	19	1	20	92.77%	94	80	86	90.31	3.5
0445	7	15	16	16	15	14	17	14	5	20	80.72%	90	94	100	90.29	3.5
1864	9	16	18	19	20	19	18	19	 	20	95.18%	91	79	85	90.27	3.5
2954	9	16	20	18	20	20	20	19	5	20	97.59%	96	74	80	90.24	3.5
8582	7	14	20	12	15	14	18	17	3	20	82.53%	94	90	96	90.21	3.5
1126	10	15	20	18	19	18	11	16	 	20	88.55%	89	86	92	90.02	3.5
9715	10	16	20	20	18	18	20	18	2	20	96.39%	81	82	88	89.95	3.5
8428	9	15	17	18	12	17	18	19	3	20	87.35%	83	90	96	89.94	3.5
7246	9	16	18	20	18	19	20	19	2	20	95.78%	86	80	86	89.91	3.5
0860	10	16	20	16	19	19	16	18	 	20	92.77%	84	84	90	89.91	3.5
2952	9	16	16	17	19	16	19	17	2	20	89.76%	96	81	87	89.90	3.5
1226	8	16	19	19	18	18	20	20	 	20	95.18%	83	82	88	89.87	3.5
4072	10	15	17	16	15	17	20	18	5	20	89.16%	99	80	86	89.86	3.5
7312	10	16	20	17	16	19	20	18	1	20	93.98%	93	78	84	89.79	3.5
