last 4 digits of sid	assign1	assign2	assign3	assign4	assign5	assign6	assign7	assign8	bonus8	Late_Days	weekly %	midterm	new mid	final	total	grade
0209	20	20	19	20	20	19	19	30	 	 	98.24%	93	98	101	99.29	4
0711	20	19	19	20	20	18	20	30	 	4	97.65%	97	102	99	99.06	4
6594	20	20	20	19	20	19	20	30	2	5	100.00%	93	98	97	98.40	4
5180	18	20	19	20	20	20	19	29	 	1	97.06%	98	103	91	95.82	4
1697	12	19	19	20	18	20	16	30	2	5	91.76%	97	102	94	94.71	4
2737	19	20	17	20	19	17	20	28	 	 	94.12%	90	95	95	94.65	4
7530	19	17	17	17	18	18	18	24	 	5	87.06%	91	96	100	94.02	4
3686	18	17	18	19	15	16	19	30	 	3	89.41%	87	92	99	93.76	4
2700	19	15	17	19	18	16	16	26	 	5	85.88%	94	99	98	93.35	4
1673	19	20	20	20	20	14	20	28	 	2	94.71%	86	91	93	93.28	4
0868	19	17	19	15	18	18	16	30	 	2	89.41%	94	99	94	93.16	4
0948	18	20	20	20	20	18	17	28	 	 	94.71%	88	93	91	92.88	4
6189	18	19	18	19	19	20	17	29	 	5	93.53%	74	79	99	92.81	4
3271	18	19	19	20	19	19	18	27	 	 	93.53%	82	87	95	92.81	4
3960	20	20	19	19	20	16	16	29	2	 	94.71%	77	82	96	92.68	3.9
2355	19	19	19	18	18	17	20	28	2	2	94.12%	82	87	94	92.65	3.9
0769	18	18	18	19	17	19	20	25	 	2	90.59%	85	90	96	92.64	3.9
3900	20	17	20	19	20	18	19	29	2	4	96.47%	77	82	94	92.59	3.9
4188	19	17	18	19	17	12	20	29	2	2	90.00%	89	94	94	92.40	3.9
2991	18	16	19	20	17	19	16	28	 	5	90.00%	86	91	95	92.20	3.9
1060	19	17	19	19	19	17	20	26	2	2	92.94%	84	89	93	92.18	3.9
1676	18	20	19	18	20	17	18	27	 	 	92.35%	95	100	88	92.14	3.9
0898	20	16	15	19	19	20	20	19	 	1	87.06%	99	104	91	92.02	3.9
1313	20	20	18	20	19	19	17	30	2	1	97.06%	79	84	91	92.02	3.9
0010	20	18	18	17	19	18	20	28	 	5	92.94%	97	102	86	91.98	3.9
3033	19	18	16	17	18	19	20	28	 	2	91.18%	78	83	97	91.87	3.8
2100	20	19	18	18	18	18	19	28	 	2	92.94%	86	91	91	91.78	3.8
2950	18	17	20	17	17	16	19	27	 	4	88.82%	83	88	96	91.53	3.8
8512	20	18	15	19	18	17	17	28	 	1	89.41%	89	94	92	91.36	3.8
0130	20	17	20	19	18	15	19	30	 	4	92.94%	99	104	83	91.18	3.8
0860	19	18	14	17	17	17	15	27	2	5	85.88%	91	96	94	91.15	3.8
9117	20	16	18	15	19	17	16	28	 	4	87.65%	89	94	93	91.06	3.8
