last 4 digits of sid	assign1	assign2	assign3	assign4	assign5	assign6	assign7	assign8	bonus8	explore	weekly %	midterm	final	new final	total	grade
1011	20	20	20	20	20	20	20	30	2	0	101.18%	100	99	109	104.07	4
0343	20	20	20	20	19	20	20	30	 	0	99.41%	99	94	104	101.16	4
0002	20	20	20	18	20	19	19	30	 	0	97.65%	99	94	104	100.46	4
6818	19	19	18	20	20	19	20	29	1	0	97.06%	100	93	103	100.02	4
0326	17	20	20	18	19	19	20	28	2	0	95.88%	93	96	106	99.35	4
4275	19	18	18	19	20	18	20	28	2	0	95.29%	96	95	105	99.32	4
5690	18	16	17	18	19	20	20	28	2	1	93.14%	95	97	107	99.05	4
1205	20	18	20	18	18	18	20	30	2	0	96.47%	95	93	103	98.79	4
2181	19	16	20	18	19	15	18	25	2	0	89.41%	95	99	109	98.36	4
6747	20	19	18	19	19	17	18	30	 	0	94.12%	93	95	105	98.25	4
4300	20	20	19	20	20	20	20	29	 	0	98.82%	96	88	98	97.93	4
0050	19	20	20	20	20	18	20	28	2	1	98.43%	93	89	99	97.57	4
4673	19	20	20	20	18	19	20	30	2	0	98.82%	95	87	97	97.33	3.9
8144	20	20	19	19	20	19	20	30	 	0	98.24%	94	88	98	97.29	3.9
5462	18	16	19	18	20	17	19	26	2	0	91.18%	96	93	103	96.87	3.9
8607	19	19	19	18	18	16	18	29	 	0	91.76%	92	94	104	96.71	3.9
2846	20	20	19	20	19	20	19	28	2	2	98.63%	98	83	93	96.25	3.9
9180	20	20	20	19	20	17	20	30	2	7	100.20%	96	82	92	96.08	3.9
2290	20	20	19	19	19	18	18	28	 	0	94.71%	98	86	96	95.88	3.9
2620	20	20	20	17	19	15	19	28	0	0	92.94%	97	88	98	95.78	3.9
2644	20	17	18	19	20	19	19	28	 	0	94.12%	89	90	100	95.45	3.9
0241	20	19	20	18	20	19	17	29	 	0	95.29%	96	85	95	95.32	3.9
5344	20	20	18	20	19	18	19	30	 	0	96.47%	97	83	93	95.19	3.9
2117	19	20	19	20	15	17	19	27	 	0	91.76%	82	94	104	94.71	3.8
0630	19	19	19	19	16	18	19	30	 	0	93.53%	90	88	98	94.61	3.8
3945	19	18	20	19	20	18	20	27	 	1	94.90%	97	83	93	94.56	3.8
0677	17	20	20	19	19	20	15	26	 	0	91.76%	94	87	97	94.31	3.8
1584	19	19	19	19	20	20	19	28	2	1	97.25%	93	82	92	94.30	3.8
8111	19	17	19	19	18	16	20	25	2	6	92.35%	98	84	94	94.14	3.8
4501	19	20	19	18	20	18	20	30	2	0	97.65%	95	80	90	94.06	3.8
0236	18	17	19	15	19	19	20	28	2	1	92.55%	97	84	94	94.02	3.8
0853	20	18	19	19	17	19	19	30	2	2	96.27%	98	79	89	93.71	3.8
1590	17	17	17	19	19	16	18	28	 	0	88.82%	82	94	104	93.53	3.8
0689	18	18	18	15	16	17	18	25	 	0	85.29%	93	92	102	93.52	3.8
0522	18	17	19	20	20	19	19	28	 	0	94.12%	90	84	94	93.25	3.8
0582	19	16	17	18	18	15	19	26	 	0	87.06%	98	87	97	93.22	3.8
1961	20	17	17	20	19	15	19	29	 	0	91.76%	79	91	101	92.91	3.7
5008	19	19	18	17	20	20	19	30	 	3	95.88%	98	77	87	92.75	3.7
6429	20	15	18	18	20	19	20	25	 	0	91.18%	90	85	95	92.47	3.7
0652	18	18	20	16	19	18	20	29	 	0	92.94%	92	82	92	92.38	3.7
8290	19	18	20	19	19	18	20	30	 	0	95.88%	98	76	86	92.35	3.7
1823	18	20	18	19	20	19	19	29	 	0	95.29%	96	77	87	92.12	3.7
