
last 4 digits of sid	assign1	assign2	assign3	assign4	assign5	assign6	assign7	assign8	bonus8	Late_Days	explore	weekly %	midterm	final	total	grade
3372	20	20	19	19	20	20	19	30	2	1	0	99.4%	100	100	99.76	4
4211	20	20	19	20	20	20	19	30	 	1	0	98.8%	98	101	99.53	4
0839	19	20	19	19	20	20	20	30	2	1	7	100.8%	95	97	98.11	4
9554	19	16	16	19	20	18	19	26	2	 	7	92.5%	100	101	97.42	4
9041	19	20	20	19	20	18	18	28	 	3	0	95.3%	98	99	97.32	4
1706	20	19	17	18	20	19	18	28	2	 	1	94.9%	96	100	97.16	4
8122	20	20	17	18	20	18	18	30	 	 	0	94.7%	98	99	97.08	4
1054	19	19	18	19	20	18	19	28	2	1	0	95.3%	99	97	96.72	4
2335	19	20	18	19	20	18	20	26	 	3	0	94.1%	95	100	96.65	4
0443	20	19	19	18	18	17	19	29	 	 	0	93.5%	98	99	96.61	4
5293	19	19	20	20	19	19	20	29	2	 	7	99.6%	93	95	96.44	4
0139	18	20	19	20	20	18	20	27	 	2	0	95.3%	98	95	95.72	4
0137	20	18	18	18	16	19	19	27	2	1	0	92.4%	93	100	95.54	4
4516	19	20	18	19	20	18	19	27	2	1	0	95.3%	96	95	95.32	3.9
5049	17	17	18	16	19	19	19	28	2	 	0	91.2%	98	98	95.27	3.9
2478	19	20	19	19	20	18	19	28	 	2	0	95.3%	93	95	94.72	3.9
0365	20	20	19	19	20	19	20	29	 	4	0	97.6%	100	89	94.66	3.9
9442	19	20	20	19	18	20	19	30	2	4	4	99.0%	97	88	94.21	3.9
3916	17	18	18	16	20	18	17	28	 	3	0	89.4%	94	99	94.16	3.9
2442	19	18	19	19	19	19	19	27	 	 	0	93.5%	85	99	94.01	3.9
8124	19	20	18	18	18	19	15	26	 	1	0	90.0%	96	97	94.00	3.9
1364	20	20	20	18	20	19	18	28	 	2	3	96.5%	85	96	93.99	3.9
8183	17	18	18	17	20	15	20	25	 	1	0	88.2%	95	99	93.89	3.9
6219	16	20	19	19	20	19	20	30	2	2	6	98.2%	96	87	93.29	3.8
1768	20	19	20	19	19	17	19	30	 	 	0	95.9%	98	88	93.15	3.8
3595	20	20	20	18	19	20	18	28	2	1	6	98.2%	95	87	93.09	3.8
2977	20	20	19	18	20	20	20	30	 	 	0	98.2%	98	85	92.89	3.8
3379	17	17	19	20	18	14	17	27	 	4	0	87.6%	93	98	92.86	3.8
2148	19	18	18	18	19	15	19	29	 	3	0	91.2%	94	93	92.47	3.8
1250	19	19	19	17	18	19	20	27	 	4	0	92.9%	98	89	92.38	3.8
3527	20	20	19	19	20	18	19	29	2	2	7	99.0%	97	83	92.21	3.8
1495	16	15	19	20	19	17	20	25	 	3	0	88.8%	85	99	92.13	3.8
0933	20	20	18	19	18	19	20	27	 	 	0	94.7%	97	87	92.08	3.8
3856	14	18	19	18	16	18	19	27	2	2	0	88.8%	89	96	91.73	3.8
1398	14	16	18	18	16	17	18	28	 	4	0	85.3%	100	94	91.72	3.8
2165	19	16	18	20	19	20	20	30	2	2	0	96.5%	94	85	91.39	3.8
2280	17	18	19	18	19	17	17	27	 	2	0	89.4%	96	91	91.36	3.8
5667	19	19	16	19	20	20	19	30	 	2	3	95.9%	93	86	91.35	3.8
1691	18	17	16	18	20	17	19	29	2	2	0	91.8%	83	95	91.31	3.8
7875	19	18	17	19	20	16	18	30	 	 	0	92.4%	99	86	91.14	3.7
1088	19	20	19	18	19	19	20	29	2	4	0	97.1%	93	84	91.02	3.7
0478	17	18	19	19	20	16	19	29	 	3	2	92.7%	87	91	90.90	3.7
9763	18	17	18	18	20	18	19	29	 	1	0	92.4%	99	85	90.74	3.7
0147	15	17	14	19	20	18	18	28	 	2	0	87.6%	88	95	90.66	3.7
0859	16	13	19	19	20	20	18	19	 	1	2	85.1%	89	97	90.64	3.7
8119	19	18	18	18	20	16	16	25	 	3	0	88.2%	88	94	90.49	3.7
4897	19	17	18	19	19	19	19	29	 	 	3	94.1%	90	87	90.45	3.7
0453	18	18	17	18	19	17	19	28	 	 	0	90.6%	97	87	90.44	3.7
7639	17	19	19	17	17	20	18	27	 	1	0	90.6%	79	96	90.44	3.7
9925	15	20	19	17	20	17	19	29	2	 	2	93.3%	99	83	90.33	3.7
0419	19	20	18	20	20	16	19	27	 	2	6	94.7%	88	87	90.28	3.7
2948	17	20	16	17	18	16	16	23	 	3	0	84.1%	91	96	90.25	3.7
2091	18	18	18	19	18	17	16	29	 	5	0	90.0%	95	88	90.20	3.7
7974	18	20	14	18	19	18	19	26	 	2	0	89.4%	83	94	89.96	3.6
2059	19	19	18	18	19	18	17	29	 	2	0	92.4%	97	84	89.94	3.6
7070	19	20	17	18	18	20	18	28	2	0	0	94.1%	99	81	89.85	3.6
3198	18	20	16	18	19	18	18	27	 	5	2	91.0%	96	84	89.19	3.6
1203	17	18	17	20	19	18	19	30	 	4	0	92.9%	86	87	89.18	3.6
2878	17	19	18	19	18	17	19	28	2	3	0	92.4%	81	90	89.14	3.6
5440	19	20	19	18	20	17	20	29	 	5	0	95.3%	81	87	89.12	3.6
8607	14	18	17	19	19	16	19	28	 	3	0	88.2%	93	88	89.09	3.6
3776	20	19	18	18	19	20	19	27	 	1	0	94.1%	89	84	89.05	3.6
1593	18	16	18	18	19	15	19	27	 	 	0	88.2%	85	91	88.69	3.6
4224	17	19	18	19	20	17	19	26	 	5	0	91.2%	95	83	88.67	3.6
1653	16	17	18	16	19	13	16	25	2	3	0	83.5%	98	89	88.61	3.6
2685	20	20	18	19	20	19	20	30	 	2	0	97.6%	89	79	88.46	3.6
7884	17	15	18	20	19	15	19	25	 	3	0	87.1%	96	86	88.42	3.6
4180	19	17	19	19	19	18	18	29	 	2	0	92.9%	100	78	88.38	3.6
0029	15	18	16	16	18	17	18	25	 	 	7	85.5%	98	86	88.20	3.5
9700	16	16	19	19	17	19	16	28	 	3	0	88.2%	84	90	88.09	3.5
9066	18	18	19	17	18	17	17	28	 	4	1	89.6%	89	86	88.04	3.5
7353	20	18	18	18	18	17	17	26	 	1	0	89.4%	86	87	87.76	3.5
2203	19	19	20	19	20	19	17	30	 	1	0	95.9%	87	80	87.75	3.5
7495	19	16	18	18	16	20	20	30	 	 	0	92.4%	94	80	87.74	3.5
4316	15	18	20	19	20	16	18	27	 	2	4	90.8%	95	81	87.71	3.5
1613	19	20	17	18	19	18	18	30	 	 	2	93.9%	80	85	87.57	3.5
1019	17	14	14	16	16	18	19	29	 	4	0	84.1%	97	86	87.45	3.5
3999	17	20	20	18	20	17	18	29	 	5	0	93.5%	95	77	87.21	3.5
3671	18	18	20	15	18	18	16	27	2	4	2	89.8%	85	85	86.92	3.5
4349	18	18	19	19	16	17	15	21	 	1	0	84.1%	82	92	86.85	3.5
2376	15	19	18	20	17	18	19	28	 	2	0	90.6%	83	85	86.84	3.5
8250	20	17	19	20	20	17	19	22	 	4	2	91.0%	92	80	86.79	3.5
2087	19	15	18	18	18	17	18	28	 	 	0	88.8%	100	78	86.73	3.5
0325	18	18	19	16	19	19	19	26	0	2	0	90.6%	90	81	86.64	3.5
2617	18	17	18	17	20	20	20	25	2	5	0	92.4%	82	83	86.54	3.5
5156	18	17	19	19	19	20	16	23	 	3	0	88.8%	95	80	86.53	3.5
3914	13	17	16	16	17	17	19	26	 	5	0	82.9%	90	88	86.38	3.5
8444	17	18	12	16	18	17	20	28	 	2	0	85.9%	78	91	86.35	3.5
5401	17	17	14	19	17	12	16	25	2	 	3	82.4%	95	86	86.34	3.5
6808	19	19	18	20	20	18	18	28	 	5	0	94.1%	83	80	86.25	3.5
3186	18	19	17	19	17	19	20	27	 	4	0	91.8%	93	77	86.11	3.5
6264	17	14	18	19	18	19	18	27	 	5	0	88.2%	90	82	86.09	3.5
5620	19	17	16	18	18	17	20	25	 	 	0	88.2%	96	79	86.09	3.5
