last 4 digits of sid	assign1	assign2	assign3	assign4	assign5	assign6	assign7	assign8	Late_Days	section	explore	weekly %	midterm	final	total	grade
1715	9	16	20	19	19	20	20	21	5	20	0.00	98.80%	100	99	99.12	4.0
4708	10	16	20	20	20	20	20	20	1	20	0.00	100.00%	93	101	99.00	4.0
5380	10	16	20	17	18	19	20	20	3	20	0.00	96.39%	95	100	97.55	4.0
6341	10	16	20	20	19	17	19	17	 	20	2.00	96.39%	99	98	97.55	4.0
4603	10	16	20	18	16	20	19	20	 	20	0.00	95.78%	100	98	97.51	4.0
9831	10	15	20	19	17	18	20	19	 	20	1.33	95.98%	99	98	97.39	4.0
5954	10	16	17	19	19	20	18	20	 	20	0.00	95.78%	98	98	97.11	4.0
1661	10	16	20	20	19	20	19	21	 	20	1.00	100.00%	97	94	97.00	4.0
4530	10	16	19	17	18	19	20	20	2	20	0.00	95.78%	99	97	96.91	4.0
4559	10	16	20	19	19	19	19	16	3	20	0.00	95.18%	98	97	96.47	4.0
9954	10	16	20	18	19	20	20	17	1	20	0.00	96.39%	97	96	96.35	4.0
1576	9	16	20	19	19	19	20	18	4	20	0.00	96.39%	97	96	96.35	4.0
9970	9	16	20	18	18	19	20	19	 	20	0.00	95.78%	93	98	96.11	4.0
0308	10	16	19	20	18	19	20	21	2	20	0.00	98.19%	98	93	96.08	4.0
7015	10	15	19	17	20	20	20	20	5	20	0.00	96.99%	100	93	96.00	4.0
1002	10	16	20	19	18	17	20	20	4	20	0.00	96.39%	95	96	95.95	4.0
1107	10	16	20	19	19	18	20	18	4	20	0.67	96.79%	94	95	95.51	4.0
5358	10	15	20	19	20	14	20	21	 	20	0.00	95.78%	100	93	95.51	4.0
2285	10	16	20	20	18	19	19	19	1	20	0.00	96.99%	95	94	95.40	4.0
2375	9	16	19	18	17	20	20	20	2	20	0.00	95.78%	97	94	95.31	4.0
1745	9	16	19	17	19	18	20	18	 	20	0.00	93.98%	98	95	95.19	4.0
1765	10	16	18	19	18	18	19	18	 	20	0.00	93.98%	96	96	95.19	4.0
0054	10	16	20	19	19	18	16	20	1	20	0.00	95.18%	94	95	94.87	4.0
5431	10	16	19	18	19	19	19	20	5	20	0.00	96.39%	95	93	94.75	4.0
6208	10	16	19	19	19	18	18	20	 	20	0.00	95.78%	90	96	94.71	4.0
4895	9	16	19	18	20	20	20	19	5	20	0.00	96.99%	101	89	94.60	4.0
0552	8	16	20	17	17	19	19	20	5	20	0.00	93.98%	97	94	94.59	4.0
8033	9	16	16	18	19	19	20	21	 	20	2.00	96.39%	98	91	94.55	4.0
5873	9	14	20	19	18	19	20	19	5	20	0.00	95.18%	94	94	94.47	3.9
0177	10	16	20	17	19	18	19	19	 	20	0.00	95.18%	100	91	94.47	3.9
1721	9	16	17	18	17	20	19	20	4	20	0.00	93.98%	94	95	94.39	3.9
8744	10	16	20	19	18	20	20	21	 	20	0.00	98.80%	94	90	94.32	3.9
0298	9	16	20	17	18	19	20	20	 	20	0.00	95.78%	98	91	94.31	3.9
5330	9	16	20	18	18	19	19	20	2	20	0.00	95.78%	100	90	94.31	3.9
0119	10	16	19	18	18	18	20	18	3	20	0.00	94.58%	100	91	94.23	3.9
4467	10	16	20	19	20	20	20	21	2	20	0.33	100.20%	94	88	94.08	3.9
8934	9	15	18	19	20	19	20	17	2	20	0.00	94.58%	97	92	94.03	3.9
9013	9	16	19	18	15	17	20	18	 	20	0.00	91.57%	97	95	94.03	3.9
1133	9	15	19	17	18	18	20	20	 	20	0.00	93.98%	100	91	93.99	3.9
2286	10	16	20	20	19	20	20	20	 	20	0.00	99.40%	95	88	93.96	3.9
2555	9	16	19	18	18	19	20	20	2	20	0.00	95.78%	94	92	93.91	3.9
5443	10	16	19	17	17	19	18	16	 	20	1.00	92.17%	91	97	93.87	3.9
8821	10	14	19	16	20	19	20	19	5	20	0.00	94.58%	94	93	93.83	3.9
1266	10	16	19	20	19	19	19	19	3	20	0.00	96.99%	97	89	93.80	3.9
2452	10	15	19	18	19	18	20	17	5	20	1.67	94.98%	95	92	93.79	3.9
1014	10	16	19	19	20	20	20	21	 	20	0.00	99.40%	96	87	93.76	3.9
0663	9	16	20	20	20	18	20	20	3	20	0.00	98.19%	96	88	93.68	3.9
0138	10	16	20	19	19	19	20	20	1	20	0.00	98.19%	98	87	93.68	3.9
2493	9	16	19	18	19	20	20	21	4	20	0.00	97.59%	97	88	93.64	3.9
7818	10	16	20	17	20	20	18	20	 	20	0.00	96.99%	94	90	93.60	3.9
5554	8	16	20	18	19	18	16	21	 	20	0.00	93.98%	100	90	93.59	3.9
7576	9	16	20	18	19	20	19	19	1	20	0.00	96.39%	97	89	93.55	3.9
5310	9	16	18	18	20	17	19	17	5	20	0.00	92.77%	100	91	93.51	3.9
8758	10	15	17	17	20	19	20	18	 	20	0.00	93.98%	97	91	93.39	3.8
6820	10	16	20	19	19	17	20	19	 	20	0.00	96.39%	90	92	93.35	3.8
9022	10	16	20	20	19	18	20	17	 	20	0.00	96.39%	100	87	93.35	3.8
3006	10	16	20	19	19	15	18	20	 	20	0.00	94.58%	97	90	93.23	3.8
6061	10	16	20	19	18	18	20	19	 	20	0.00	96.39%	101	86	93.15	3.8
8905	9	15	19	16	16	17	20	18	3	20	0.00	90.36%	95	95	93.14	3.8
4685	10	16	19	19	18	19	19	19	2	20	0.00	95.78%	96	89	93.11	3.8
9878	9	15	19	17	19	17	19	19	 	20	0.00	92.77%	98	91	93.11	3.8
9824	9	16	20	18	19	19	20	17	4	20	0.00	95.18%	101	87	93.07	3.8
4427	10	16	19	17	19	16	20	20	5	20	0.00	94.58%	97	89	92.83	3.8
2270	10	15	19	19	18	17	17	21	 	20	0.00	93.98%	94	91	92.79	3.8
4714	10	16	20	19	20	19	19	21	3	20	0.00	98.80%	80	93	92.72	3.8
4244	10	16	19	19	18	16	20	20	 	20	0.00	95.18%	91	91	92.67	3.8
2054	10	16	20	17	18	19	19	19	3	20	0.00	95.18%	99	87	92.67	3.8
2245	10	15	19	18	20	19	19	18	3	20	0.00	95.18%	89	92	92.67	3.8
6833	10	16	20	19	18	18	18	19	2	20	0.00	95.18%	95	89	92.67	3.8
6158	8	16	20	16	14	17	17	18	 	20	0.00	87.95%	101	93	92.58	3.8
2618	10	16	20	19	18	19	19	18	2	20	0.00	95.78%	93	89	92.51	3.8
2695	10	16	20	19	20	19	17	20	1	20	0.00	96.99%	90	89	92.40	3.8
2933	9	16	19	17	18	20	19	18	2	20	0.00	93.98%	92	91	92.39	3.8
7414	10	15	19	20	19	16	19	16	2	20	0.00	92.77%	96	90	92.31	3.8
1680	10	16	18	18	18	18	19	21	2	20	0.00	95.18%	87	92	92.27	3.8
9813	10	15	20	18	18	19	18	20	 	20	0.00	95.18%	93	89	92.27	3.8
3246	9	15	20	18	19	19	20	16	 	20	0.00	93.98%	97	88	92.19	3.8
1053	9	15	19	17	19	19	18	19	4	20	0.00	93.37%	98	88	92.15	3.8
1234	10	14	19	18	18	17	20	19	 	20	0.00	93.37%	94	90	92.15	3.8
6942	10	16	19	16	18	17	16	19	2	20	0.67	91.37%	96	91	92.15	3.7
3140	10	16	19	17	17	20	19	16	4	20	0.00	92.77%	90	92	91.91	3.7
5013	10	15	14	18	17	15	19	21	3	20	0.00	89.76%	100	90	91.90	3.7
5158	10	16	17	18	19	20	18	20	 	20	0.00	95.18%	97	86	91.87	3.7
4797	7	16	20	19	19	16	18	18	 	20	0.00	92.17%	97	89	91.87	3.7
0259	9	16	20	19	18	19	20	21	3	20	0.00	97.59%	84	90	91.84	3.7
2189	9	16	19	18	17	19	19	18	1	20	0.00	93.37%	96	88	91.75	3.7
9905	10	16	18	18	19	19	19	15	 	20	0.00	92.77%	99	87	91.71	3.7
7353	10	15	16	19	18	19	19	21	2	20	0.00	94.58%	95	87	91.63	3.7
0463	7	16	20	20	16	17	17	19	2	20	0.00	91.57%	93	91	91.63	3.7
0679	9	16	16	17	16	20	18	19	1	20	0.00	90.96%	96	90	91.59	3.7
0116	10	15	20	16	18	16	11	20	1	20	0.00	87.95%	92	95	91.58	3.7
6915	10	15	19	18	20	18	20	19	2	20	0.00	95.78%	98	84	91.51	3.7
1130	9	16	19	19	20	19	18	19	2	20	0.00	95.78%	84	91	91.51	3.7
1010	9	15	20	18	18	18	17	19	 	20	0.00	92.77%	92	90	91.51	3.7
7077	8	13	19	20	20	19	20	19	2	20	0.00	95.18%	95	86	91.47	3.7
8046	8	14	19	19	19	20	17	17	1	20	0.00	92.17%	99	87	91.47	3.7
4936	8	14	20	16	17	14	18	15	1	20	0.00	85.54%	96	95	91.42	3.7
1289	10	16	20	19	17	20	19	18	4	20	0.00	95.78%	93	86	91.31	3.7
0941	9	16	19	18	17	19	20	20	1	20	0.00	95.18%	92	87	91.27	3.7
1273	10	15	19	20	17	19	19	19	 	20	0.00	95.18%	82	92	91.27	3.7
1694	10	16	19	18	18	19	20	21	3	20	0.00	96.99%	96	83	91.20	3.7
6852	8	15	18	14	17	18	18	18	1	20	0.00	87.95%	98	91	91.18	3.7
8259	9	16	20	19	16	17	20	17	2	20	0.00	92.77%	92	89	91.11	3.7
2269	9	15	18	17	18	20	18	19	2	20	0.00	92.77%	100	85	91.11	3.7
5354	9	14	14	19	18	19	19	21	 	20	0.00	92.17%	97	87	91.07	3.7
7965	10	16	20	20	18	20	19	19	2	20	0.00	97.59%	94	83	91.04	3.7
4108	9	16	19	19	18	17	20	19	2	20	0.00	94.58%	92	87	91.03	3.7
3717	10	14	20	17	20	19	20	21	5	20	0.00	96.99%	87	87	91.00	3.7
8972	10	16	18	18	18	17	19	20	5	20	0.00	93.98%	95	86	90.99	3.7
4512	10	16	16	17	18	19	16	19	 	20	0.00	90.96%	97	88	90.99	3.7
6630	8	15	18	16	17	17	19	20	 	20	0.00	90.36%	92	91	90.94	3.7
2292	10	16	20	18	17	20	20	21	4	20	0.00	97.59%	97	81	90.84	3.6
2290	10	15	18	16	19	20	20	19	5	20	0.00	94.58%	99	83	90.83	3.6
7828	9	16	18	18	20	18	18	15	1	20	0.00	91.57%	93	89	90.83	3.6
7388	9	15	19	16	18	20	18	17	3	20	0.00	91.57%	95	88	90.83	3.6
3740	9	15	13	17	17	17	20	18	2	20	0.00	87.95%	100	89	90.78	3.6
4768	10	15	16	17	18	16	19	19	 	20	0.00	90.36%	93	90	90.74	3.6
7738	9	16	20	19	19	18	19	19	5	20	0.00	95.78%	92	85	90.71	3.6
