code	assign1	assign2	assign3	assign4	assign5	assign6	assign7	assign8	bonus8	Late_Days	explore	weekly %	midterm	new mid	final	total	grade
173	15	15	16	15	17	14	16	23	 	2	0	77.1%	77	79	67	73.42	2.5
853	17	16	15	10	18	18	17	20	 	5	0	77.1%	93	95	73	79.02	3.0
1065	15	16	20	18	20	17	20	15	 	1	0	82.9%	49	51	43	60.58	1.5
1166	17	16	14	18	17	14	19	27	 	5	0	83.5%	71	73	76	78.41	2.9
1297	14	17	16	15	17	17	19	30	 	5	0	85.3%	86	88	71	80.12	3.0
2128	12	15	5	6	17	16	9	16	 	5	8	58.0%	64	66	50	56.42	1.1
2189	19	16	19	18	18	17	19	30	2	5	0	92.9%	80	82	71	81.98	3.2
2605	15	17	17	16	17	18	16	11	 	5	0	74.7%	75	77	56	67.68	2.0
2953	16	16	18	17	18	19	19	28	0	0	0	88.8%	88	90	86	87.93	3.7
2988	17	14	14	9	13	11	12	23	 	5	0	66.5%	87	89	66	70.79	2.3
3219	18	18	19	18	18	19	15	28	 	5	0	90.0%	95	97	89	91.00	3.9
3277	18	19	19	20	20	18	19	28	2	0	0	95.9%	100	100	88	93.55	4
3474	17	16	18	15	16	18	18	25	 	2	0	84.1%	61	63	69	73.85	2.5
3540	16	16	17	17	18	 	 	 	 	0	0	49.4%	64	66	 	32.96	0.0
3635	15	16	18	16	15	19	16	27	 	3	0	83.5%	78	80	83	82.61	3.2
4021	19	19	20	19	20	18	17	28	 	0	0	94.1%	95	97	81	89.45	3.8
4082	15	17	13	13	16	18	20	26	 	4	0	81.2%	73	75	76	77.87	2.9
4887	15	14	14	19	15	11	8	19	 	5	0	67.6%	56	58	36	53.06	0.8
5010	17	18	17	19	18	19	17	30	2	5	2	92.7%	93	95	72	84.90	3.4
5076	16	17	15	18	17	16	17	26	 	0	0	83.5%	61	63	58	69.21	2.2
5134	10	16	15	6	18	14	17	27	0	3	1	72.5%	79	81	78	76.42	2.7
5143	19	20	19	18	19	20	18	30	 	0	7	97.3%	97	99	81	91.10	3.9
5231	16	17	18	19	17	20	19	29	 	0	0	91.2%	95	97	81	88.27	3.7
5488	19	15	19	19	20	20	19	27	 	5	1	93.1%	78	80	79	84.85	3.4
6005	16	19	17	20	18	17	17	28	2	4	3	91.2%	78	80	89	88.07	3.7
6100	17	17	16	17	15	16	19	30	 	0	0	86.5%	84	86	82	84.59	3.4
6188	18	16	19	19	17	16	18	27	 	3	8	89.8%	88	90	89	89.52	3.8
6933	19	16	18	17	17	18	18	26	 	5	0	87.6%	66	68	62	73.46	2.5
6972	18	15	9	13	17	16	14	19	 	5	0	71.2%	64	66	67	68.47	2.1
6994	17	20	19	18	18	20	20	30	2	5	2	96.9%	88	90	89	92.35	4
7088	14	15	16	 	0	 	 	 	 	5	0	26.5%	59	61	16	29.19	0.0
7151	14	11	14	17	15	12	19	29	 	2	0	77.1%	82	84	78	78.82	2.9
8058	16	18	5	5	0	 	 	 	 	5	0	25.9%	62	64	 	23.15	0.0
8110	16	18	19	16	19	19	19	 	 	0	1	74.3%	92	94	95	86.53	3.6
8119	18	16	19	17	16	15	15	29	2	0	0	86.5%	67	69	 	48.39	0.0
